,고객이름,방문매장,최근방문날짜,방문횟수
131,22214428,GS25강남쌍용점,2019-02-10,4
132,22214428,GS25강남로데오점,2018-07-21,7
133,22214428,GS25강남본점,2020-02-10,7
134,59706893,GS25강남사랑점,2020-01-20,16
135,59706893,GS25강남은성점,2020-03-13,9
136,59706893,GS25S강남역2호점,2018-01-19,17
137,59706893,GS25강남개포점,2018-06-19,15
138,46467231,GS25강남역삼점,2020-07-17,14
139,46467231,GS25강남역삼점,2019-08-12,9
140,46467231,GS25강남메트로점,2018-06-21,20
141,46467231,GS25S강남구청역점,2020-04-12,11
142,46467231,GS25강남갤러리점,2020-07-14,7
143,46467231,GS25R서울강남4점,2018-02-11,15
144,46467231,GS25S강남구청역점,2020-05-16,16
145,46467231,GS25강남타운점,2020-06-15,6
146,46467231,GS25강남동원점,2019-04-18,8
147,46467231,GS25강남유블레스점,2020-02-11,15
148,77374823,GS25강남개포점,2019-01-15,1
149,77374823,GS25R서울강남4점,2018-03-19,13
150,77374823,GS25S9신논현역점,2018-06-13,18
151,77374823,GS25강남개포점,2020-07-17,12
152,77374823,GS25S강남구청역점,2018-09-21,6
153,77374823,GS25강남태양점,2019-02-17,19
154,77374823,GS25강남은성점,2018-02-18,20
155,77374823,GS25강남청담점,2018-06-18,1
156,77374823,GS25강남태양점,2020-02-12,12
157,77374823,GS25강남드림하이점,2019-04-12,7
158,77374823,GS25강남은성점,2020-03-17,9
159,77374823,GS25강남시티힐점,2020-02-18,7
160,77374823,GS25강남에이스타워점,2018-03-12,17
161,77374823,GS25S강남역3호점,2019-01-16,12
162,71967229,GS25강남역삼점,2020-01-16,13
163,71967229,GS25강남세곡점,2020-07-17,19
164,71967229,GS25강남시티힐점,2020-03-12,14
165,71967229,GS25강남사랑점,2019-09-14,18
166,71967229,GS25강남YBM점,2018-09-13,14
167,71967229,GS25S강남역2호점,2020-01-17,12
168,71967229,GS25강남갤러리점,2018-09-11,12
169,71967229,GS25강남LH점,2020-08-14,11
170,71967229,GS25개나리SK점,2018-02-17,12
171,71967229,GS25S9신논현역점,2018-05-11,14
172,1254875,GS25강남쉐르빌점,2020-06-17,3
173,41201491,GS25강남메트로점,2020-05-13,15
174,41201491,GS25강남시티힐점,2018-04-21,3
175,41201491,GS25S9신논현역점,2020-02-10,8
176,41201491,GS25S강남구청역점,2019-04-13,9
177,41201491,GS25강남태강점,2019-06-19,17
178,41201491,GS25강남에이스타워점,2019-05-13,6
179,41201491,GS25S강남역3호점,2020-06-15,4
180,41201491,GS25S9삼성중앙역점,2019-03-13,15
181,41201491,GS25S강남구청역점,2018-05-20,5
182,41201491,GS25강남쉐르빌점,2020-07-13,3
183,40475933,GS25강남본점,2018-03-12,16
184,40475933,GS25강남리츠칼튼점,2018-09-15,9
185,40475933,GS25강남로데오점,2020-05-16,20
186,22247409,GS25S9봉은사역점,2020-05-12,9
187,22247409,GS25강남신사점,2019-07-10,18
188,22247409,GS25강남역삼점,2018-05-16,5
189,22247409,GS25강남본점,2019-09-20,20
190,22247409,GS25강남LH점,2019-04-16,12
191,22247409,GS25강남드림하이점,2020-09-19,7
192,22247409,GS25강남상록회관점,2018-02-20,13
193,22247409,GS25강남대치점,2019-03-15,6
194,22247409,GS25S강남역3호점,2019-04-14,11
195,22247409,GS25강남N타워점,2019-04-10,8
196,22247409,GS25강남본점,2020-08-16,4
197,22247409,GS25강남본점,2020-06-12,16
198,22247409,GS25개나리SK점,2019-09-21,6
199,22247409,GS25강남사랑점,2020-05-17,6
200,22247409,GS25강남대치점,2019-08-15,6
201,42518696,GS25강남영동점,2019-04-21,20
202,42518696,GS25강남에이스타워점,2020-08-10,10
203,42518696,GS25강남대치점,2020-01-11,4
204,42518696,GS25강남상록회관점,2018-09-14,7
205,42518696,GS25강남쌍용점,2020-03-14,18
206,42518696,GS25강남세곡점,2018-01-10,10
207,42518696,GS25S강남역3호점,2018-09-18,4
208,42518696,GS25강남태강점,2020-02-16,10
209,24782388,GS25강남로데오점,2019-01-15,3
210,24782388,GS25S강남역3호점,2019-01-15,6
211,24782388,GS25강남드림하이점,2018-01-20,18
212,24782388,GS25S강남구청역점,2019-09-18,20
213,24782388,GS25강남타운점,2019-07-19,2
214,24782388,GS25강남청담점,2020-01-12,19
215,24782388,GS25강남상록회관점,2020-09-20,14
216,24782388,GS25강남세곡점,2019-08-17,4
217,24782388,GS25강남사랑점,2018-01-11,13
218,24782388,GS25강남타운점,2020-09-19,14
219,24782388,GS25S강남역2호점,2020-07-11,14
220,24782388,GS25강남사랑점,2020-06-17,16
221,24782388,GS25S강남구청역점,2019-02-19,16
222,24782388,GS25강남세곡점,2019-02-15,20
223,24782388,GS25강남YBM점,2019-01-15,12
224,28003728,GS25강남쥬비스점,2020-06-21,5
225,28003728,GS25S강남구청역점,2019-03-18,2
226,28003728,GS25강남본점,2018-07-12,9
227,28003728,GS25S9언주역점,2019-09-11,12
228,28003728,GS25강남대치점,2018-04-12,9
229,28003728,GS25R선릉7점,2020-09-17,11
230,28003728,GS25강남타운점,2019-07-17,5
231,96521238,GS25S강남역2호점,2019-04-20,11
232,96521238,GS25S강남역2호점,2020-09-15,1
233,96521238,GS25강남나누리점,2020-07-15,6
234,96521238,GS25개포경남점,2019-06-15,15
235,96521238,GS25강남유블레스점,2019-02-15,8
236,96521238,GS25S강남역3호점,2019-03-16,10
237,96521238,GS25강남쥬비스점,2019-08-14,19
238,96521238,GS25S강남역2호점,2019-04-18,15
239,96521238,GS25S강남구청역점,2018-06-12,3
240,96521238,GS25개나리SK점,2019-03-10,18
241,96521238,GS25강남갤러리점,2020-06-14,6
242,96521238,GS25S9봉은사역점,2019-01-18,3
243,89045449,GS25강남태양점,2018-08-17,13
244,89045449,GS25S강남역1호점,2019-09-13,3
245,89045449,GS25강남나누리점,2020-08-14,13
246,89045449,GS25S강남역1호점,2020-08-11,15
247,30089224,GS25강남쌍용점,2019-03-15,5
248,30089224,GS25강남타운점,2019-08-13,5
249,30089224,GS25S강남역1호점,2020-07-15,2
250,30089224,GS25강남세곡점,2020-02-14,4
251,30089224,GS25강남한티점,2019-06-18,18
252,30089224,GS25강남나누리점,2018-06-21,9
253,30089224,GS25강남대치점,2018-01-21,7
254,30089224,GS25S강남역1호점,2018-09-14,1
255,30089224,GS25강남개포점,2019-03-18,1
256,30089224,GS25강남쥬비스점,2020-01-18,13
257,30089224,GS25S강남구청역점,2019-09-19,9
258,30089224,GS25강남사랑점,2020-02-12,7
259,30089224,GS25강남YBM점,2018-02-14,5
260,30089224,GS25강남상록회관점,2019-02-18,4
261,30089224,GS25강남역삼점,2020-07-14,4
262,5985301,GS25개나리SK점,2018-09-15,7
263,5985301,GS25강남메트로점,2018-06-14,20
264,3786854,GS25강남메트로점,2020-03-10,5
265,3786854,GS25강남유블레스점,2018-04-20,14
266,3786854,GS25강남에이스타워점,2020-06-11,9
267,3786854,GS25강남에이스타워점,2018-04-10,3
268,3786854,GS25강남타운점,2019-08-19,10
269,3786854,GS25S9언주역점,2020-05-19,14
270,42543436,GS25강남본점,2019-09-19,5
271,42543436,GS25S강남역1호점,2019-09-11,4
272,42543436,GS25강남개포점,2018-09-11,18
273,42543436,GS25S9언주역점,2019-01-15,11
274,42543436,GS25강남개포점,2018-06-14,3
275,42543436,GS25강남메트로점,2020-03-14,12
276,42543436,GS25강남쌍용점,2019-03-11,1
277,42543436,GS25강남은성점,2019-07-19,20
278,42543436,GS25강남아트점,2020-09-15,19
279,42543436,GS25강남세곡점,2019-04-17,10
280,42543436,GS25강남대치점,2019-07-11,1
281,42543436,GS25S강남역2호점,2020-02-11,7
282,42543436,GS25강남아트점,2019-04-16,2
283,52184792,GS25강남리츠칼튼점,2020-06-11,12
284,83106435,GS25S강남역1호점,2019-07-19,12
285,83106435,GS25강남에이스타워점,2020-05-15,5
286,83106435,GS25강남동원점,2020-05-11,19
287,83106435,GS25강남LH점,2020-03-19,15
288,83106435,GS25강남쉐르빌점,2019-09-19,15
289,83106435,GS25강남한티점,2018-04-20,6
290,83106435,GS25개나리SK점,2020-08-12,6
291,83106435,GS25S강남역2호점,2018-07-17,12
292,83106435,GS25강남나누리점,2020-04-18,6
293,83106435,GS25강남시티힐점,2020-07-15,3
294,83106435,GS25강남타운점,2020-08-20,10
295,83106435,GS25강남엘지점,2018-07-17,10
296,83106435,GS25강남타운점,2020-04-11,10
297,83106435,GS25강남은성점,2018-05-14,15
298,79915597,GS25강남아트점,2019-07-10,6
299,79915597,GS25개나리SK점,2020-01-12,10
300,79915597,GS25강남쌍용점,2018-01-14,20
301,79915597,GS25강남리츠칼튼점,2019-02-14,3
302,79915597,GS25S9언주역점,2018-08-16,14
303,79915597,GS25강남LH점,2020-06-18,12
304,79915597,GS25강남타운점,2019-06-15,17
305,79915597,GS25강남본점,2020-07-12,14
306,79915597,GS25강남타운점,2019-09-18,7
307,79915597,GS25강남대치점,2020-05-17,1
308,79915597,GS25R서울강남4점,2020-03-18,12
309,79915597,GS25강남역삼점,2018-08-21,15
310,58418124,GS25R서울강남4점,2019-08-21,18
311,58418124,GS25R서울강남4점,2018-01-15,9
312,58418124,GS25강남유블레스점,2019-07-21,7
313,58418124,GS25강남갤러리점,2018-09-18,13
314,58418124,GS25강남갤러리점,2019-09-19,14
315,58418124,GS25강남동원점,2018-03-13,4
316,58418124,GS25강남대치점,2020-08-20,19
317,88759195,GS25강남한티점,2020-02-21,3
318,88759195,GS25강남개포점,2019-03-10,2
319,88759195,GS25강남사랑점,2019-02-17,3
320,88759195,GS25강남나누리점,2020-04-18,9
321,88759195,GS25강남시티힐점,2020-06-20,7
322,88759195,GS25강남로데오점,2019-08-13,6
323,88759195,GS25R서울강남4점,2019-09-11,2
324,88759195,GS25R서울강남4점,2018-05-13,8
325,88759195,GS25강남본점,2019-04-15,4
326,73117118,GS25강남리츠칼튼점,2018-03-18,4
327,73117118,GS25S강남구청역점,2020-07-18,14
328,73117118,GS25개포경남점,2019-09-20,8
329,73117118,GS25강남신사점,2020-09-16,3
330,73117118,GS25S강남역3호점,2020-09-15,7
331,73117118,GS25강남YBM점,2019-08-17,15
332,73117118,GS25강남에이스타워점,2019-07-21,9
333,73117118,GS25R서울강남4점,2019-08-18,19
334,73117118,GS25강남신사점,2018-08-10,20
335,73117118,GS25강남엘지점,2020-04-16,20
336,73117118,GS25S9언주역점,2018-06-18,19
337,73117118,GS25강남엘지점,2018-08-20,18
338,8456614,GS25강남YBM점,2018-01-20,15
339,8456614,GS25S9신논현역점,2018-03-11,5
340,8456614,GS25강남본점,2018-02-11,8
341,8456614,GS25강남드림하이점,2019-02-11,7
342,8456614,GS25S강남역1호점,2018-02-16,10
343,8456614,GS25강남역삼점,2020-06-13,10
344,8456614,GS25개나리SK점,2020-01-15,12
345,8456614,GS25S강남역3호점,2020-03-20,3
346,8456614,GS25강남신사점,2019-06-16,16
347,8456614,GS25강남로데오점,2018-04-21,1
348,92774806,GS25S강남역2호점,2018-09-11,16
349,17091169,GS25강남동원점,2020-03-11,15
350,17091169,GS25강남은성점,2020-08-20,2
351,17091169,GS25강남본점,2020-01-14,12
352,17091169,GS25S9언주역점,2018-05-11,1
353,17091169,GS25강남시티힐점,2019-04-11,11
354,17091169,GS25강남아트점,2018-09-18,16
355,74324517,GS25S강남역3호점,2020-09-17,4
356,74324517,GS25S9언주역점,2020-09-17,10
357,74324517,GS25강남로데오점,2018-08-21,11
358,74324517,GS25강남에이스타워점,2020-01-21,19
359,74324517,GS25강남LH점,2019-08-17,4
360,74324517,GS25강남시티힐점,2018-09-13,9
361,74324517,GS25강남세곡점,2018-02-12,19
362,74324517,GS25S강남구청역점,2018-08-20,17
363,74324517,GS25S9신논현역점,2018-09-19,17
364,74324517,GS25S9봉은사역점,2020-01-18,18
365,74324517,GS25강남영동점,2019-01-15,13
366,74324517,GS25S강남역1호점,2020-03-19,2
367,66220305,GS25S강남구청역점,2018-09-19,6
368,66220305,GS25강남N타워점,2020-05-21,8
369,66220305,GS25강남YBM점,2018-08-12,17
370,66220305,GS25강남사랑점,2018-06-19,9
371,66220305,GS25강남신사점,2019-02-11,11
372,66220305,GS25강남영동점,2019-01-12,14
373,66220305,GS25강남상록회관점,2020-05-10,19
374,66220305,GS25S9언주역점,2019-02-12,14
375,66220305,GS25강남신사점,2020-08-17,7
376,66220305,GS25강남타운점,2020-05-18,10
377,66220305,GS25S강남역1호점,2020-09-21,11
378,66220305,GS25강남상록회관점,2019-03-14,1
379,66220305,GS25S9신논현역점,2019-02-21,16
380,78632111,GS25강남시티힐점,2018-03-11,6
381,78632111,GS25강남은성점,2019-08-21,15
382,78632111,GS25강남갤러리점,2019-04-10,11
383,78632111,GS25S강남역1호점,2018-07-18,5
384,10784272,GS25개포경남점,2019-07-20,11
385,10784272,GS25강남리츠칼튼점,2019-03-18,1
386,10784272,GS25강남청담점,2019-01-18,8
387,10784272,GS25개나리SK점,2019-06-16,13
388,10784272,GS25강남태양점,2019-09-21,10
389,90308832,GS25강남리츠칼튼점,2019-02-20,10
390,90308832,GS25강남나누리점,2018-03-12,10
391,90308832,GS25R선릉7점,2018-07-20,10
392,90308832,GS25강남시티힐점,2020-08-14,11
393,90308832,GS25강남태강점,2018-09-16,4
394,90308832,GS25개포경남점,2020-04-14,1
395,90308832,GS25강남본점,2019-04-14,3
396,90308832,GS25강남시티힐점,2018-03-19,17
397,28283503,GS25강남영동점,2019-02-16,18
398,28283503,GS25S9언주역점,2018-04-21,9
399,28283503,GS25강남로데오점,2020-08-14,16
400,28283503,GS25강남개포점,2020-07-11,17
401,28283503,GS25강남쉐르빌점,2019-09-19,19
402,28283503,GS25S강남구청역점,2018-07-19,20
403,28283503,GS25S강남역3호점,2018-02-19,4
404,28283503,GS25강남로데오점,2019-04-21,14
405,28283503,GS25S강남역2호점,2019-03-10,6
406,28283503,GS25강남세곡점,2020-06-13,9
407,28283503,GS25강남에이스타워점,2018-09-18,10
408,54049848,GS25R선릉7점,2018-06-15,17
409,54049848,GS25강남대치점,2019-05-11,3
410,54049848,GS25강남쌍용점,2020-08-17,12
411,54049848,GS25강남LH점,2019-02-10,2
412,61413722,GS25강남YBM점,2020-06-19,8
413,61413722,GS25S9삼성중앙역점,2019-07-21,1
414,61413722,GS25강남리츠칼튼점,2020-08-14,4
415,61413722,GS25강남에이스타워점,2019-09-21,7
416,61413722,GS25강남태양점,2020-07-20,5
417,60221893,GS25강남시티힐점,2020-06-10,1
418,60221893,GS25S강남역3호점,2019-02-21,13
419,60221893,GS25강남대치점,2018-01-14,1
420,60221893,GS25강남N타워점,2020-05-11,17
421,60221893,GS25강남갤러리점,2019-01-19,3
422,60221893,GS25강남신사점,2018-02-12,7
423,60221893,GS25S9봉은사역점,2020-06-10,1
424,60221893,GS25S9신논현역점,2019-05-11,18
425,60221893,GS25강남유블레스점,2019-03-19,20
426,60221893,GS25S강남역3호점,2020-03-21,14
427,60221893,GS25강남YBM점,2018-09-18,20
428,25877919,GS25강남본점,2019-07-18,6
429,25877919,GS25강남드림하이점,2019-07-19,7
430,25877919,GS25강남대치점,2019-03-13,15
431,25877919,GS25S강남역2호점,2019-04-20,20
432,25877919,GS25강남유블레스점,2019-09-12,10
433,25877919,GS25강남아트점,2019-07-11,3
434,25877919,GS25강남메트로점,2020-02-12,13
435,25877919,GS25S9삼성중앙역점,2018-06-19,11
436,7123661,GS25강남한티점,2020-06-16,1
437,7123661,GS25강남리츠칼튼점,2018-07-20,5
438,7123661,GS25강남청담점,2019-04-13,17
439,7123661,GS25강남사랑점,2020-09-18,1
440,7123661,GS25강남청담점,2020-08-20,18
441,7123661,GS25강남유블레스점,2020-06-11,13
442,7123661,GS25S강남역2호점,2020-07-21,3
443,71623527,GS25강남타운점,2019-06-20,10
444,40369400,GS25강남드림하이점,2020-07-11,1
445,40369400,GS25강남개포점,2019-03-19,6
446,40369400,GS25강남청담점,2020-05-14,8
447,40369400,GS25R선릉7점,2020-01-19,3
448,40369400,GS25강남상록회관점,2019-03-19,13
449,40369400,GS25강남역삼점,2018-08-16,5
450,40369400,GS25강남개포점,2020-04-11,20
451,40369400,GS25S9신논현역점,2018-03-21,13
452,40369400,GS25S강남역1호점,2018-09-10,1
453,47626502,GS25강남에이스타워점,2019-02-15,17
454,47626502,GS25강남YBM점,2018-08-21,12
455,47626502,GS25강남쉐르빌점,2020-03-14,16
456,47626502,GS25S9신논현역점,2019-09-16,15
457,47626502,GS25강남본점,2020-03-17,3
458,17398077,GS25강남로데오점,2019-07-18,8
459,17398077,GS25강남은성점,2020-05-16,12
460,17398077,GS25강남엘지점,2018-08-13,19
461,17398077,GS25개나리SK점,2018-04-17,16
462,17398077,GS25강남상록회관점,2020-06-10,4
463,17398077,GS25S강남역3호점,2018-09-21,5
464,17398077,GS25강남역삼점,2018-09-20,6
465,17398077,GS25S9언주역점,2018-06-20,17
466,17398077,GS25강남쉐르빌점,2018-02-17,11
467,17398077,GS25강남리츠칼튼점,2020-07-15,10
468,17398077,GS25강남리츠칼튼점,2020-03-17,10
469,50183188,GS25강남YBM점,2019-07-20,2
470,50183188,GS25강남쌍용점,2020-01-11,3
471,50183188,GS25강남LH점,2018-03-16,16
472,50183188,GS25강남드림하이점,2020-06-16,3
473,50183188,GS25강남한티점,2018-03-15,18
474,50183188,GS25강남상록회관점,2018-02-17,20
475,50183188,GS25S9삼성중앙역점,2020-07-19,17
476,50183188,GS25S강남역3호점,2020-07-20,9
477,50183188,GS25강남사랑점,2020-02-18,4
478,50183188,GS25강남시티힐점,2018-03-17,2
479,46253888,GS25강남태강점,2019-02-15,4
480,46253888,GS25강남은성점,2020-02-14,11
481,46253888,GS25S강남구청역점,2018-06-18,12
482,46253888,GS25강남쉐르빌점,2018-03-19,5
483,46253888,GS25강남엘지점,2020-09-18,3
484,46253888,GS25S강남역1호점,2018-08-21,3
485,46253888,GS25강남메트로점,2020-07-19,3
486,46253888,GS25S강남구청역점,2019-01-16,18
487,46253888,GS25S강남역1호점,2019-03-12,13
488,46253888,GS25강남리츠칼튼점,2018-09-16,10
489,46253888,GS25강남사랑점,2020-08-13,19
490,53985945,GS25R서울강남4점,2018-04-18,11
491,53985945,GS25R서울강남4점,2020-08-21,20
492,53985945,GS25강남대치점,2018-09-13,13
493,53985945,GS25강남리츠칼튼점,2018-01-21,17
494,53985945,GS25강남쥬비스점,2018-09-21,1
495,53985945,GS25S강남역2호점,2018-03-10,10
496,53985945,GS25강남대치점,2018-03-12,13
497,53985945,GS25S강남구청역점,2020-07-14,15
498,53985945,GS25R서울강남4점,2019-08-19,16
499,53985945,GS25S강남구청역점,2019-05-19,6
500,53985945,GS25강남한티점,2020-09-13,14
501,53985945,GS25S강남역3호점,2018-04-20,18
502,30231826,GS25강남사랑점,2018-02-11,10
503,30231826,GS25강남N타워점,2019-01-15,2
504,30231826,GS25S강남역3호점,2018-02-18,15
505,30231826,GS25강남에이스타워점,2019-02-20,19
506,30231826,GS25S강남역3호점,2018-04-11,8
507,30231826,GS25강남역삼점,2018-01-12,12
508,30231826,GS25S강남역3호점,2020-09-13,8
509,30231826,GS25S9언주역점,2018-02-14,15
510,30231826,GS25S9봉은사역점,2020-03-17,6
511,30231826,GS25S9봉은사역점,2019-07-13,3
512,30231826,GS25S강남구청역점,2018-05-10,20
513,73336485,GS25강남타운점,2018-07-10,9
514,73336485,GS25강남타운점,2019-02-14,17
515,73336485,GS25S강남역1호점,2020-01-14,14
516,73336485,GS25강남태양점,2020-07-21,20
517,73336485,GS25S강남구청역점,2020-09-12,10
518,73336485,GS25S9신논현역점,2020-08-19,19
519,73336485,GS25강남쌍용점,2018-01-17,13
520,92805865,GS25S강남역3호점,2019-06-10,2
521,59712597,GS25R서울강남4점,2020-08-20,18
522,59712597,GS25강남대치점,2018-03-16,3
523,59712597,GS25강남쉐르빌점,2018-08-17,7
524,59712597,GS25강남사랑점,2020-07-10,20
525,59712597,GS25강남엘지점,2018-09-11,19
526,59712597,GS25R선릉7점,2018-06-17,10
527,59712597,GS25개포경남점,2020-01-20,13
528,59712597,GS25R선릉7점,2019-07-13,15
529,59712597,GS25강남동원점,2019-05-18,5
530,59712597,GS25강남LH점,2019-04-10,16
531,59712597,GS25S강남역3호점,2018-04-11,7
532,59712597,GS25강남쌍용점,2020-01-10,18
533,59712597,GS25강남개포점,2020-08-16,1
534,59712597,GS25강남개포점,2019-04-19,1
535,59712597,GS25강남태양점,2018-08-20,12
536,98020339,GS25강남시티힐점,2018-01-12,17
537,98020339,GS25R서울강남4점,2020-06-12,7
538,98020339,GS25강남대치점,2020-05-12,3
539,17316470,GS25강남나누리점,2020-05-18,18
540,17316470,GS25강남영동점,2019-08-14,18
541,17316470,GS25강남대치점,2018-08-16,16
542,17316470,GS25강남드림하이점,2020-09-12,19
543,17316470,GS25S강남역2호점,2018-05-20,19
544,68081660,GS25강남쌍용점,2018-08-17,5
545,68081660,GS25S9언주역점,2018-09-17,3
546,68081660,GS25강남개포점,2019-03-18,10
547,68081660,GS25S9신논현역점,2019-01-10,16
548,6922174,GS25강남아트점,2019-07-21,12
549,6922174,GS25S강남구청역점,2018-03-17,5
550,6922174,GS25강남갤러리점,2018-04-20,17
551,6922174,GS25강남드림하이점,2019-02-18,5
