,판매점ID,판매물품바코드,재고,재고업데이트날짜,최근판매날짜
111,46239733,8801056002541,1,2020-09-06,2020-08-12
112,46239733,8809050511083,27,2020-09-06,2020-08-12
113,46239733,8801097187016,28,2020-09-06,2020-08-12
114,46239733,8809080300060,16,2020-09-06,2020-08-12
115,46239733,8806002010977,8,2020-09-06,2020-08-12
116,46239733,8809110700051,15,2020-09-06,2020-08-12
117,46239733,8806001084894,14,2020-09-06,2020-08-12
118,46239733,8801104500067,12,2020-09-06,2020-08-12
119,46239733,8801056233013,31,2020-09-06,2020-08-12
120,46239733,8801382137405,10,2020-09-06,2020-08-12
121,46239733,8809135303633,21,2020-09-06,2020-08-12
122,46239733,88004334,30,2020-09-06,2020-08-12
123,46239733,8803284607659,9,2020-09-06,2020-08-12
124,46239733,8806430012819,22,2020-09-06,2020-08-12
125,46239733,8801056714017,3,2020-09-06,2020-08-12
126,46239733,8809332392768,6,2020-09-06,2020-08-12
127,46239733,8801043650700,29,2020-09-06,2020-08-12
128,46239733,8806003011362,30,2020-09-06,2020-08-12
129,52970367,8801056787127,16,2020-05-15,2020-09-21
130,52970367,8802673003201,17,2020-05-15,2020-09-21
131,52970367,8803284605464,1,2020-05-15,2020-09-21
132,52970367,8801056001858,15,2020-05-15,2020-09-21
133,52970367,8809323750010,18,2020-05-15,2020-09-21
134,52970367,8801056005237,2,2020-05-15,2020-09-21
135,52970367,8809423620015,1,2020-05-15,2020-09-21
136,52970367,8801056688127,2,2020-05-15,2020-09-21
137,52970367,8802673003256,8,2020-05-15,2020-09-21
138,52970367,8809228158881,9,2020-05-15,2020-09-21
139,52970367,8809173200345,19,2020-05-15,2020-09-21
140,52970367,8801382130820,19,2020-05-15,2020-09-21
141,52970367,8801382138686,18,2020-05-15,2020-09-21
142,52970367,8801382134848,13,2020-05-15,2020-09-21
143,52970367,8809023009340,16,2020-05-15,2020-09-21
144,52970367,8809191574688,8,2020-05-15,2020-09-21
145,52970367,8809023001269,15,2020-05-15,2020-09-21
146,52970367,8801056036775,4,2020-05-15,2020-09-21
147,52970367,8809423620008,6,2020-05-15,2020-09-21
148,99699361,8809173200123,1,2020-06-11,2020-01-12
149,66679999,8801056024017,2,2020-02-06,2020-09-07
150,66679999,8803284607659,2,2020-02-06,2020-09-07
151,66679999,8802673003201,1,2020-02-06,2020-09-07
152,47033144,8809323750027,2,2020-01-11,2020-08-07
153,47033144,8804074600546,16,2020-01-11,2020-08-07
154,47033144,8801382137405,19,2020-01-11,2020-08-07
155,47033144,8801753100885,15,2020-01-11,2020-08-07
156,47033144,8809382930224,33,2020-01-11,2020-08-07
157,47033144,8801382130840,12,2020-01-11,2020-08-07
158,47033144,8809228158881,6,2020-01-11,2020-08-07
159,47033144,880105665874,29,2020-01-11,2020-08-07
160,47033144,8804342310108,28,2020-01-11,2020-08-07
161,47033144,8801094503901,32,2020-01-11,2020-08-07
162,47033144,8809397830014,28,2020-01-11,2020-08-07
163,47033144,8801056006297,31,2020-01-11,2020-08-07
164,47033144,8801056032388,7,2020-01-11,2020-08-07
165,47033144,8809382930255,14,2020-01-11,2020-08-07
166,47033144,8801094223038,30,2020-01-11,2020-08-07
167,47033144,8809125060836,22,2020-01-11,2020-08-07
168,47033144,8806003011522,18,2020-01-11,2020-08-07
169,47033144,8809424480038,27,2020-01-11,2020-08-07
170,47033144,8809080300039,3,2020-01-11,2020-08-07
171,47033144,8801056001285,32,2020-01-11,2020-08-07
172,47033144,8801094482602,15,2020-01-11,2020-08-07
173,47033144,8801382131014,1,2020-01-11,2020-08-07
174,47033144,8801097131019,29,2020-01-11,2020-08-07
175,47033144,8809027331317,32,2020-01-11,2020-08-07
176,47033144,8806002002894,11,2020-01-11,2020-08-07
177,47033144,8807920310347,21,2020-01-11,2020-08-07
178,47033144,8801382127574,33,2020-01-11,2020-08-07
179,47033144,8801094563004,8,2020-01-11,2020-08-07
180,47033144,8804074600546,27,2020-01-11,2020-08-07
181,47033144,8809382930231,23,2020-01-11,2020-08-07
182,47033144,8801094563004,29,2020-01-11,2020-08-07
183,47033144,8801056224011,6,2020-01-11,2020-08-07
184,47033144,8801056042196,30,2020-01-11,2020-08-07
185,47033144,8801056065829,7,2020-01-11,2020-08-07
186,9723056,8801056007163,2,2020-01-12,2020-03-06
187,9723056,8809082723379,5,2020-01-12,2020-03-06
188,9723056,8809397830014,6,2020-01-12,2020-03-06
189,9723056,8809191574657,6,2020-01-12,2020-03-06
190,9723056,8801097250413,1,2020-01-12,2020-03-06
191,9723056,8806430012802,3,2020-01-12,2020-03-06
192,9723056,8801056688127,4,2020-01-12,2020-03-06
193,58832889,8801382130802,7,2020-09-20,2020-05-07
194,58832889,8804342343434,9,2020-09-20,2020-05-07
195,58832889,8801056009731,14,2020-09-20,2020-05-07
196,58832889,8809027332932,9,2020-09-20,2020-05-07
197,58832889,8801097130036,13,2020-09-20,2020-05-07
198,58832889,8806430012802,7,2020-09-20,2020-05-07
199,58832889,8805915531012,4,2020-09-20,2020-05-07
200,58832889,8809057795523,17,2020-09-20,2020-05-07
201,58832889,8801056033026,7,2020-09-20,2020-05-07
202,58832889,8801382137405,12,2020-09-20,2020-05-07
203,58832889,8801043900027,17,2020-09-20,2020-05-07
204,58832889,8801382134848,16,2020-09-20,2020-05-07
205,58832889,8809424480021,3,2020-09-20,2020-05-07
206,58832889,8801056007163,17,2020-09-20,2020-05-07
207,58832889,8809027331706,15,2020-09-20,2020-05-07
208,58832889,8809253640177,16,2020-09-20,2020-05-07
209,58832889,8801056201012,12,2020-09-20,2020-05-07
210,61657168,8801056058227,5,2020-03-12,2020-04-02
211,61657168,8809221607072,5,2020-03-12,2020-04-02
212,61657168,8801094502102,2,2020-03-12,2020-04-02
213,61657168,8801104290357,7,2020-03-12,2020-04-02
214,61657168,8801056224011,2,2020-03-12,2020-04-02
215,61657168,8809023009593,3,2020-03-12,2020-04-02
216,61657168,8801056006297,1,2020-03-12,2020-04-02
217,33463785,8801052727837,3,2020-05-02,2020-08-10
218,33463785,8809228158898,1,2020-05-02,2020-08-10
219,33463785,8801104500067,1,2020-05-02,2020-08-10
220,84457962,8802774006927,13,2020-06-02,2020-03-14
221,84457962,8801097250369,2,2020-06-02,2020-03-14
222,84457962,8804342387872,22,2020-06-02,2020-03-14
223,84457962,8809057550023,41,2020-06-02,2020-03-14
224,84457962,8805915530633,16,2020-06-02,2020-03-14
225,84457962,8801382144823,26,2020-06-02,2020-03-14
226,84457962,8809409910154,7,2020-06-02,2020-03-14
227,84457962,880105665874,2,2020-06-02,2020-03-14
228,84457962,8801097178038,20,2020-06-02,2020-03-14
229,84457962,8801043900027,7,2020-06-02,2020-03-14
230,84457962,8801097130036,16,2020-06-02,2020-03-14
231,84457962,8801056065829,43,2020-06-02,2020-03-14
232,84457962,8809125060225,27,2020-06-02,2020-03-14
233,84457962,8801056001285,26,2020-06-02,2020-03-14
234,84457962,8802774006927,26,2020-06-02,2020-03-14
235,84457962,8801097150010,9,2020-06-02,2020-03-14
236,84457962,8806002010427,38,2020-06-02,2020-03-14
237,84457962,8801094483005,15,2020-06-02,2020-03-14
238,84457962,8809080300060,18,2020-06-02,2020-03-14
239,84457962,8806001084887,14,2020-06-02,2020-03-14
240,84457962,880105665874,2,2020-06-02,2020-03-14
241,84457962,8801056033026,6,2020-06-02,2020-03-14
242,84457962,8806001085020,22,2020-06-02,2020-03-14
243,84457962,8801382127284,39,2020-06-02,2020-03-14
244,84457962,8806002010441,25,2020-06-02,2020-03-14
245,84457962,8801056201012,27,2020-06-02,2020-03-14
246,84457962,8801056006259,2,2020-06-02,2020-03-14
247,84457962,8806001083767,35,2020-06-02,2020-03-14
248,84457962,8809423620046,13,2020-06-02,2020-03-14
249,84457962,8806001083767,20,2020-06-02,2020-03-14
250,84457962,8801097178021,11,2020-06-02,2020-03-14
251,84457962,8801043900027,6,2020-06-02,2020-03-14
252,84457962,8809228158898,36,2020-06-02,2020-03-14
253,84457962,8801056006259,11,2020-06-02,2020-03-14
254,84457962,8809080300039,14,2020-06-02,2020-03-14
255,84457962,8801097178014,16,2020-06-02,2020-03-14
256,84457962,8809023009593,9,2020-06-02,2020-03-14
257,84457962,8801056033026,5,2020-06-02,2020-03-14
258,84457962,8809173200147,2,2020-06-02,2020-03-14
259,84457962,8801094602406,16,2020-06-02,2020-03-14
260,84457962,8801056051747,2,2020-06-02,2020-03-14
261,84457962,8809423620008,29,2020-06-02,2020-03-14
262,84457962,8803284605464,30,2020-06-02,2020-03-14
263,27206775,8806001083767,26,2020-05-18,2020-09-17
264,27206775,8806003011362,10,2020-05-18,2020-09-17
265,27206775,8806001084887,27,2020-05-18,2020-09-17
266,27206775,8806002010670,32,2020-05-18,2020-09-17
267,27206775,8801094223038,17,2020-05-18,2020-09-17
268,27206775,8809397830014,31,2020-05-18,2020-09-17
269,27206775,8809003432328,37,2020-05-18,2020-09-17
270,27206775,8801056005719,2,2020-05-18,2020-09-17
271,27206775,8801056042196,23,2020-05-18,2020-09-17
272,27206775,8806001084542,8,2020-05-18,2020-09-17
273,27206775,8801097130036,35,2020-05-18,2020-09-17
274,27206775,8803284605464,25,2020-05-18,2020-09-17
275,27206775,8809110700051,12,2020-05-18,2020-09-17
276,27206775,8801056032388,12,2020-05-18,2020-09-17
277,27206775,8809228158898,11,2020-05-18,2020-09-17
278,27206775,8806430012819,7,2020-05-18,2020-09-17
279,27206775,8801056164011,31,2020-05-18,2020-09-17
280,27206775,8809382930200,31,2020-05-18,2020-09-17
281,27206775,8802673003201,17,2020-05-18,2020-09-17
282,27206775,8809027331492,32,2020-05-18,2020-09-17
283,27206775,8809082723379,10,2020-05-18,2020-09-17
284,27206775,8804074600546,15,2020-05-18,2020-09-17
285,27206775,8801056038649,31,2020-05-18,2020-09-17
286,27206775,8801097250413,33,2020-05-18,2020-09-17
287,27206775,8809423620008,20,2020-05-18,2020-09-17
288,27206775,8801382130820,22,2020-05-18,2020-09-17
289,27206775,8809080300060,11,2020-05-18,2020-09-17
290,27206775,8809068661169,12,2020-05-18,2020-09-17
291,27206775,8809080300039,6,2020-05-18,2020-09-17
292,27206775,8801382130383,7,2020-05-18,2020-09-17
293,27206775,8801104290357,16,2020-05-18,2020-09-17
294,27206775,8809027331324,6,2020-05-18,2020-09-17
295,27206775,8801056024017,18,2020-05-18,2020-09-17
296,27206775,8801056006297,38,2020-05-18,2020-09-17
297,27206775,8801056755010,15,2020-05-18,2020-09-17
298,27206775,8809023009340,33,2020-05-18,2020-09-17
299,27206775,8809382930224,10,2020-05-18,2020-09-17
300,27206775,8806001083767,4,2020-05-18,2020-09-17
301,14729155,8809125060225,30,2020-08-14,2020-07-01
302,14729155,8806002003900,10,2020-08-14,2020-07-01
303,14729155,8801056924011,7,2020-08-14,2020-07-01
304,14729155,8809397830007,27,2020-08-14,2020-07-01
305,14729155,8801056064761,20,2020-08-14,2020-07-01
306,14729155,8801382139072,32,2020-08-14,2020-07-01
307,14729155,8801094502102,17,2020-08-14,2020-07-01
308,14729155,8809423620039,29,2020-08-14,2020-07-01
309,14729155,8801382130659,10,2020-08-14,2020-07-01
310,14729155,8803284607659,16,2020-08-14,2020-07-01
311,14729155,8809397830007,23,2020-08-14,2020-07-01
312,14729155,8806002010670,29,2020-08-14,2020-07-01
313,14729155,8809027331492,12,2020-08-14,2020-07-01
314,14729155,8806020311919,30,2020-08-14,2020-07-01
315,14729155,8801094222703,9,2020-08-14,2020-07-01
316,14729155,8809409910154,25,2020-08-14,2020-07-01
317,14729155,8809173200130,16,2020-08-14,2020-07-01
318,14729155,8806002004044,15,2020-08-14,2020-07-01
319,14729155,8809382930255,24,2020-08-14,2020-07-01
320,14729155,8801097178090,15,2020-08-14,2020-07-01
321,14729155,8804342310108,13,2020-08-14,2020-07-01
322,14729155,8801056007163,28,2020-08-14,2020-07-01
323,14729155,8809068661169,16,2020-08-14,2020-07-01
324,14729155,8801056007163,13,2020-08-14,2020-07-01
325,14729155,88004334,27,2020-08-14,2020-07-01
326,14729155,8809050511144,15,2020-08-14,2020-07-01
327,14729155,8801056924011,20,2020-08-14,2020-07-01
328,14729155,8809027331317,24,2020-08-14,2020-07-01
329,14729155,8806003011362,14,2020-08-14,2020-07-01
330,14729155,8801097250383,8,2020-08-14,2020-07-01
331,14729155,8801056389017,5,2020-08-14,2020-07-01
332,14729155,8809068661152,15,2020-08-14,2020-07-01
333,14729155,8801094603007,23,2020-08-14,2020-07-01
334,14729155,8804342387872,31,2020-08-14,2020-07-01
335,14729155,8809423870014,34,2020-08-14,2020-07-01
336,89034567,8809068661169,6,2020-06-03,2020-09-10
337,89034567,8809135308157,7,2020-06-03,2020-09-10
338,89034567,8806002000794,2,2020-06-03,2020-09-10
339,89034567,8801094563004,6,2020-06-03,2020-09-10
340,89034567,8809125060836,2,2020-06-03,2020-09-10
341,89034567,8801056755010,2,2020-06-03,2020-09-10
342,89034567,8801056154066,11,2020-06-03,2020-09-10
343,89034567,8809080300039,6,2020-06-03,2020-09-10
344,89034567,8809023001269,4,2020-06-03,2020-09-10
345,89034567,8809191574688,8,2020-06-03,2020-09-10
346,89034567,8809382930200,4,2020-06-03,2020-09-10
347,89034567,8809023009593,11,2020-06-03,2020-09-10
348,98446589,8809191574664,13,2020-04-02,2020-03-20
349,98446589,8809050511090,17,2020-04-02,2020-03-20
350,98446589,8809082727513,15,2020-04-02,2020-03-20
351,98446589,8801056224011,9,2020-04-02,2020-03-20
352,98446589,8809323750027,20,2020-04-02,2020-03-20
353,98446589,8801097178014,7,2020-04-02,2020-03-20
354,98446589,8801056058227,33,2020-04-02,2020-03-20
355,98446589,8802673003362,18,2020-04-02,2020-03-20
356,98446589,8809135303640,23,2020-04-02,2020-03-20
357,98446589,8809082727537,35,2020-04-02,2020-03-20
358,98446589,8809423620046,4,2020-04-02,2020-03-20
359,98446589,8801056024017,44,2020-04-02,2020-03-20
360,98446589,8804342398984,13,2020-04-02,2020-03-20
361,98446589,8801052727851,7,2020-04-02,2020-03-20
362,98446589,8801056032388,41,2020-04-02,2020-03-20
363,98446589,8801097231016,21,2020-04-02,2020-03-20
364,98446589,8801056058227,7,2020-04-02,2020-03-20
365,98446589,8801056065768,7,2020-04-02,2020-03-20
366,98446589,8801056024062,12,2020-04-02,2020-03-20
367,98446589,8804342398984,44,2020-04-02,2020-03-20
368,98446589,8809382930248,41,2020-04-02,2020-03-20
369,98446589,8801056002541,27,2020-04-02,2020-03-20
370,98446589,8801094223038,28,2020-04-02,2020-03-20
371,98446589,8801382128038,40,2020-04-02,2020-03-20
372,98446589,8809050511038,17,2020-04-02,2020-03-20
373,98446589,8809057795523,6,2020-04-02,2020-03-20
374,98446589,8809057795509,42,2020-04-02,2020-03-20
375,98446589,8801056714017,7,2020-04-02,2020-03-20
376,98446589,8801097178014,28,2020-04-02,2020-03-20
377,98446589,8801056030649,36,2020-04-02,2020-03-20
378,98446589,8801382130840,14,2020-04-02,2020-03-20
379,98446589,8801056688011,3,2020-04-02,2020-03-20
380,98446589,8809082727537,10,2020-04-02,2020-03-20
381,98446589,8806001084887,39,2020-04-02,2020-03-20
382,98446589,8801097130036,21,2020-04-02,2020-03-20
383,98446589,8804342387872,42,2020-04-02,2020-03-20
384,98446589,8809082723379,31,2020-04-02,2020-03-20
385,98446589,8801056154066,36,2020-04-02,2020-03-20
386,98446589,8801043650762,13,2020-04-02,2020-03-20
387,98446589,8809423870014,13,2020-04-02,2020-03-20
388,98446589,8802673003218,23,2020-04-02,2020-03-20
389,98446589,8801056164011,34,2020-04-02,2020-03-20
390,98446589,8801056005719,19,2020-04-02,2020-03-20
391,98446589,8809125060225,33,2020-04-02,2020-03-20
392,34792150,8801056013110,16,2020-06-16,2020-08-08
393,34792150,8809228158881,20,2020-06-16,2020-08-08
394,34792150,8801094232702,13,2020-06-16,2020-08-08
395,34792150,8801056688127,30,2020-06-16,2020-08-08
396,34792150,8809057550023,1,2020-06-16,2020-08-08
397,34792150,8809082723379,11,2020-06-16,2020-08-08
398,34792150,8809068661077,12,2020-06-16,2020-08-08
399,34792150,8806001083026,31,2020-06-16,2020-08-08
400,34792150,8809228150021,12,2020-06-16,2020-08-08
401,34792150,8801056224158,21,2020-06-16,2020-08-08
402,34792150,8801094222406,8,2020-06-16,2020-08-08
403,34792150,8806002010427,14,2020-06-16,2020-08-08
404,34792150,8801056064747,5,2020-06-16,2020-08-08
405,34792150,8801097231016,25,2020-06-16,2020-08-08
406,34792150,8801094503901,7,2020-06-16,2020-08-08
407,34792150,8809057550023,29,2020-06-16,2020-08-08
408,34792150,8806430012819,2,2020-06-16,2020-08-08
409,34792150,8801746672443,4,2020-06-16,2020-08-08
410,34792150,8801052727851,9,2020-06-16,2020-08-08
411,34792150,8801056154011,3,2020-06-16,2020-08-08
412,34792150,8801056058227,13,2020-06-16,2020-08-08
413,34792150,8801056001841,14,2020-06-16,2020-08-08
414,34792150,8802774000987,31,2020-06-16,2020-08-08
415,34792150,8801382130826,2,2020-06-16,2020-08-08
416,34792150,8801056233013,25,2020-06-16,2020-08-08
417,34792150,8806001083750,3,2020-06-16,2020-08-08
418,34792150,8809125060850,17,2020-06-16,2020-08-08
419,34792150,8801382139072,3,2020-06-16,2020-08-08
420,34792150,8804074600546,26,2020-06-16,2020-08-08
421,34792150,8803284605464,2,2020-06-16,2020-08-08
422,34792150,8801382131014,27,2020-06-16,2020-08-08
423,34157209,8806020311353,3,2020-03-07,2020-06-21
424,34157209,8801056003364,2,2020-03-07,2020-06-21
425,34157209,8809106188092,1,2020-03-07,2020-06-21
426,34157209,8806002003023,4,2020-03-07,2020-06-21
427,36237228,8801104290357,9,2020-07-04,2020-01-19
428,36237228,8801382139072,20,2020-07-04,2020-01-19
429,36237228,8801056798017,15,2020-07-04,2020-01-19
430,36237228,8801056009731,30,2020-07-04,2020-01-19
431,36237228,8809023009333,7,2020-07-04,2020-01-19
432,36237228,8801056024062,18,2020-07-04,2020-01-19
433,36237228,8801382137382,8,2020-07-04,2020-01-19
434,36237228,8801097250383,22,2020-07-04,2020-01-19
435,36237228,8801097130012,27,2020-07-04,2020-01-19
436,36237228,8809382930248,16,2020-07-04,2020-01-19
437,36237228,8807920310347,3,2020-07-04,2020-01-19
438,36237228,8801056002541,10,2020-07-04,2020-01-19
439,36237228,8801056787127,25,2020-07-04,2020-01-19
440,36237228,8809082727513,34,2020-07-04,2020-01-19
441,36237228,8801056015107,13,2020-07-04,2020-01-19
442,36237228,8809027331744,17,2020-07-04,2020-01-19
443,36237228,8801094232702,1,2020-07-04,2020-01-19
444,36237228,8806002003900,23,2020-07-04,2020-01-19
445,36237228,8809423620046,34,2020-07-04,2020-01-19
446,36237228,8809080300039,36,2020-07-04,2020-01-19
447,36237228,8801094223038,15,2020-07-04,2020-01-19
448,36237228,8809068661176,16,2020-07-04,2020-01-19
449,36237228,8801056005237,10,2020-07-04,2020-01-19
450,36237228,8809027331744,23,2020-07-04,2020-01-19
451,36237228,8801056389017,21,2020-07-04,2020-01-19
452,36237228,8809050511090,26,2020-07-04,2020-01-19
453,36237228,8801056688127,36,2020-07-04,2020-01-19
454,36237228,8809027331706,34,2020-07-04,2020-01-19
455,36237228,8801094503505,21,2020-07-04,2020-01-19
456,36237228,8801056005719,4,2020-07-04,2020-01-19
457,36237228,8801094222703,10,2020-07-04,2020-01-19
458,36237228,8809068661077,28,2020-07-04,2020-01-19
459,36237228,8809191574664,6,2020-07-04,2020-01-19
460,36237228,8809191574640,9,2020-07-04,2020-01-19
461,36237228,8803284607659,7,2020-07-04,2020-01-19
462,36237228,8809050511144,36,2020-07-04,2020-01-19
463,97713365,8801056017644,35,2020-08-08,2020-06-18
464,97713365,8809027332932,6,2020-08-08,2020-06-18
465,97713365,8801094563004,5,2020-08-08,2020-06-18
466,97713365,8801097187016,36,2020-08-08,2020-06-18
467,97713365,8801056003364,3,2020-08-08,2020-06-18
468,97713365,8801043650700,10,2020-08-08,2020-06-18
469,97713365,8801104500067,40,2020-08-08,2020-06-18
470,97713365,8809023003379,37,2020-08-08,2020-06-18
471,97713365,8806001083750,35,2020-08-08,2020-06-18
472,97713365,8809173200345,11,2020-08-08,2020-06-18
473,97713365,8801056003364,18,2020-08-08,2020-06-18
474,97713365,8801043650700,5,2020-08-08,2020-06-18
475,97713365,8806002003023,27,2020-08-08,2020-06-18
476,97713365,8801056015107,5,2020-08-08,2020-06-18
477,97713365,8801056038861,45,2020-08-08,2020-06-18
478,97713365,8809135303640,17,2020-08-08,2020-06-18
479,97713365,8809423870014,2,2020-08-08,2020-06-18
480,97713365,8801097250376,10,2020-08-08,2020-06-18
481,97713365,8801094223007,39,2020-08-08,2020-06-18
482,97713365,8809023009593,28,2020-08-08,2020-06-18
483,97713365,8801056006297,36,2020-08-08,2020-06-18
484,97713365,8809382930248,28,2020-08-08,2020-06-18
485,97713365,8809173200123,35,2020-08-08,2020-06-18
486,97713365,8801097250053,33,2020-08-08,2020-06-18
487,97713365,880105665874,29,2020-08-08,2020-06-18
488,97713365,8809423620015,40,2020-08-08,2020-06-18
489,97713365,8809228158898,12,2020-08-08,2020-06-18
490,97713365,8803284605464,4,2020-08-08,2020-06-18
491,97713365,8801056051747,3,2020-08-08,2020-06-18
492,97713365,8801056034740,22,2020-08-08,2020-06-18
493,97713365,8801056002541,23,2020-08-08,2020-06-18
494,97713365,8806002002894,29,2020-08-08,2020-06-18
495,97713365,8809228158898,4,2020-08-08,2020-06-18
496,97713365,8801382130383,45,2020-08-08,2020-06-18
