,고객이름,구매물건,구매갯수,최근방문날짜
177,46377754,8809068661176,13,2018-03-16
178,46377754,8806001085020,11,2019-05-02
179,46377754,8809423870007,19,2018-04-02
180,46377754,8809221607072,16,2020-02-17
181,68672582,8801382137405,4,2018-06-10
182,68672582,8809027331706,6,2019-01-02
183,36336095,8809191574664,5,2020-02-06
184,36336095,8801094232702,2,2020-06-12
185,36336095,8801056033026,3,2018-03-16
186,36336095,8801746672443,6,2020-07-15
187,36336095,8801056005719,12,2020-06-19
188,36336095,8806002000794,15,2019-05-11
189,36336095,8809003432304,12,2018-04-15
190,36336095,8801037018646,8,2018-01-12
191,36336095,8805915530633,10,2019-05-13
192,97316717,8801746672443,18,2019-09-17
193,97316717,8801097250369,5,2020-06-02
194,97316717,8801056688127,11,2019-03-05
195,97316717,8801097250383,17,2018-03-17
196,97316717,8801056755010,5,2019-04-12
197,46275105,8803284605532,17,2018-07-17
198,46275105,8809135303640,3,2019-04-03
199,46275105,8801056042226,3,2020-04-08
200,14540265,8801056005672,14,2018-01-21
201,14540265,8801097178038,17,2018-09-14
202,14540265,8801382127574,2,2020-09-21
203,14540265,8809221606204,17,2020-09-02
204,14540265,8801056001858,18,2019-01-05
205,67231965,8806001083026,10,2018-09-03
206,67231965,8809135308157,14,2019-02-02
207,67231965,8801043650700,14,2020-02-19
208,67231965,8809125060850,2,2020-09-01
209,67231965,8806003011362,18,2018-02-20
210,67231965,8806002003030,3,2020-06-11
211,86718970,8809173200130,17,2018-03-07
212,86718970,8801056006297,15,2020-05-15
213,86718970,8801056006297,15,2019-06-10
214,86718970,8801094222703,20,2019-05-05
215,20458175,8806003011362,10,2018-04-20
216,20458175,8801056036775,13,2020-08-13
217,20458175,8802673003232,18,2018-08-08
218,20458175,8801056005237,16,2018-09-02
219,20458175,8801094482602,8,2018-07-07
220,20458175,8809228150021,11,2018-02-10
221,20458175,8806002010571,5,2019-08-14
222,20458175,8801056034740,16,2019-06-03
223,20458175,8801056006297,19,2018-02-09
224,9952604,8809423620015,10,2018-02-06
225,9952604,8804342310108,2,2019-05-03
226,9952604,8806020310530,12,2019-01-15
227,9952604,8809382930248,17,2019-09-19
228,9952604,8809068661176,18,2019-06-09
229,9952604,8801056005719,3,2020-02-16
230,9952604,8809023009340,1,2019-09-06
231,89028120,8805915531036,8,2019-05-02
232,89028120,8801094602208,12,2018-05-10
233,89028120,8806002010670,11,2018-06-18
234,89028120,8801056003364,8,2019-02-19
235,89028120,8801056064761,17,2020-07-16
236,89028120,8802673003256,10,2020-01-13
237,89028120,8809191574695,1,2018-04-15
238,89028120,8801056688127,11,2019-09-15
239,89028120,8801753100885,7,2019-07-13
240,96413508,8806001083767,6,2018-06-05
241,96413508,8802774003445,7,2019-05-15
242,96413508,8801056024062,14,2019-05-12
243,96413508,8801056064761,10,2018-01-20
244,96413508,8801056298012,8,2019-08-21
245,96413508,8801097187016,11,2020-07-17
246,96413508,8809423620046,15,2020-04-07
247,96413508,8806020311353,17,2020-04-03
248,70765999,8801056042226,14,2019-08-08
249,70765999,8809382930200,19,2018-06-20
250,70765999,8809023009333,12,2020-02-08
251,70765999,8809135303640,15,2019-08-08
252,70765999,8809332391303,3,2020-09-14
253,70765999,8806002003931,1,2020-04-20
254,70765999,8801056033026,6,2019-09-09
255,63240502,8801056038861,16,2020-07-07
256,63240502,8809110700044,9,2020-01-21
257,63240502,8803284607659,10,2018-05-12
258,63240502,8806002010977,7,2019-09-10
259,63240502,8801097231016,11,2020-06-05
260,63240502,8809135303633,8,2020-07-14
261,63240502,8806001085020,2,2019-08-02
262,63240502,8801056034740,8,2018-01-17
263,63240502,8801094502102,3,2019-03-01
264,37726,8809023003379,20,2018-08-14
265,37726,8801746672443,11,2018-04-21
266,37726,8809027331317,15,2019-08-20
267,37726,8801037037869,7,2018-03-09
268,37726,8801094503901,7,2020-02-09
269,37726,8802673003256,19,2018-07-14
270,37726,8801382135418,15,2018-03-16
271,37726,8809068661077,19,2018-04-01
272,4170661,8806020311919,13,2020-09-07
273,59107196,8806003011522,16,2019-07-08
274,59107196,8809323750027,3,2019-05-08
275,59107196,8801382127284,1,2019-05-17
276,59107196,8809110700044,12,2019-03-06
277,77188696,8801382130820,10,2018-01-04
278,77188696,8809050511038,20,2019-02-10
279,25974979,8801043650199,19,2018-05-16
280,65532453,8801097150010,2,2020-09-21
281,65532453,8809003432328,7,2020-05-08
282,65532453,8801056224011,18,2018-05-15
283,65532453,8801056006297,7,2018-06-07
284,65532453,8806002010670,3,2018-07-17
285,65532453,8801056924011,11,2019-02-06
286,65532453,8801094502102,10,2019-05-09
287,65532453,8809068661169,15,2019-02-09
288,65532453,8804342398984,20,2019-02-14
289,65532453,8809323750027,20,2018-08-09
290,67662868,8801056038649,3,2019-05-13
291,67662868,8801056018160,9,2019-05-14
292,67662868,8802673003249,15,2020-01-06
293,67662868,8804074600546,6,2019-08-03
294,67662868,8807920310347,8,2020-01-13
295,67662868,8801097250279,19,2018-06-08
296,67662868,8802673003218,12,2018-01-01
297,67662868,8801056001285,3,2018-01-07
298,67662868,8809382930231,16,2020-03-05
299,8064833,8806003011362,6,2020-06-06
300,8064833,8809082727513,19,2018-09-16
301,8064833,8801097250376,7,2020-03-02
302,8064833,8809380760175,17,2018-04-19
303,8064833,8804342398984,9,2020-09-06
304,8064833,8809173200130,17,2018-07-16
305,8064833,8803284605464,17,2019-05-18
306,8064833,8809191574671,18,2019-02-19
307,8064833,8809191574695,8,2018-04-05
308,65199737,8809191574664,11,2020-09-20
309,65199737,88004334,9,2020-02-15
310,65199737,8801056154066,15,2020-01-11
311,65199737,8809082723379,16,2019-05-19
312,65199737,8801037018646,6,2018-08-08
313,65199737,8809135303633,17,2020-02-03
314,41942785,8809023009340,7,2020-06-12
315,41942785,8801094482602,1,2018-07-15
316,41942785,8809057550023,19,2020-06-10
317,41942785,8809082727537,20,2020-02-07
318,41942785,8809228158881,11,2020-05-09
319,41942785,8809380760175,13,2020-09-13
320,41942785,8809382930255,9,2020-08-16
321,41942785,8801056389123,7,2018-01-02
322,41942785,8806002003023,10,2020-02-15
323,41942785,8804074100350,2,2020-01-08
324,85925769,8801097231016,7,2020-06-19
325,85925769,8804074100350,16,2019-04-04
326,85925769,8809423620046,9,2019-01-04
327,85925769,8809057795523,15,2019-02-07
328,85925769,8809228158881,2,2019-09-09
329,85925769,8809382930248,14,2018-02-02
330,86889901,8809191574657,16,2018-02-07
331,86889901,8809050511090,18,2020-04-03
332,86889901,8809424480021,7,2019-04-01
333,86889901,8801056054984,20,2020-04-03
334,86889901,8801094232702,1,2019-01-11
335,86889901,8809027331492,16,2020-06-01
336,86889901,8809135303633,4,2020-04-13
337,84327761,8802774000369,11,2018-09-08
338,7572253,8809397830021,15,2018-03-03
339,7572253,8801382137405,9,2019-06-11
340,75630901,8809323750065,17,2020-05-11
341,75630901,8801097187016,7,2019-01-21
342,75630901,8801056233013,8,2018-01-09
343,90531651,8806002002894,10,2019-02-01
344,90531651,8802673003232,13,2019-02-16
345,90531651,8802673003362,13,2018-07-16
346,90531651,8802673003263,1,2020-02-20
347,90531651,8803284605464,13,2020-04-20
348,90531651,8801094603007,16,2020-05-08
349,75377293,8809423620008,4,2020-06-20
350,75377293,8801043650700,13,2019-06-08
351,75377293,8804342310108,13,2020-08-13
352,75377293,8801056798017,17,2020-04-09
353,75377293,8801056298128,5,2018-01-14
354,75377293,8809027331713,20,2020-09-14
355,75377293,8806001083798,3,2018-06-13
356,81821577,8801094603007,18,2020-01-18
357,81821577,8801382127284,8,2018-05-01
358,81821577,8809082723379,6,2020-07-05
359,81821577,8809027331706,11,2018-05-14
360,73723916,8801382134824,3,2020-08-17
361,73723916,8801097231016,6,2019-05-14
362,73723916,8809173200345,9,2018-08-15
363,73723916,8804342343434,3,2020-04-17
364,28781069,8801056487010,3,2018-09-09
365,28781069,8801097250383,19,2019-04-11
366,28781069,8801056001841,6,2019-03-20
367,28781069,8809221607072,9,2019-06-17
368,28781069,8801094503000,1,2020-04-14
369,28781069,8809082727537,7,2018-09-12
370,28781069,8801043900027,4,2018-09-08
371,77049173,8801056005672,4,2019-01-14
372,77049173,8801052727851,6,2018-05-07
373,77049173,8809040935110,11,2018-05-09
374,19365470,8801056054984,5,2019-08-13
375,19365470,8801056005719,11,2019-07-09
376,19365470,8809068661077,12,2019-05-18
377,19365470,8809228158898,5,2019-03-02
378,19365470,8804074600546,19,2018-04-05
379,19365470,8801382127284,8,2020-07-19
380,19365470,8809228150014,14,2018-06-13
381,2050713,8809135303633,4,2018-09-06
382,44786447,8806002010441,15,2019-04-16
383,44786447,8801056042219,10,2018-05-20
384,44786447,8801097178038,6,2020-03-19
385,44786447,8801097130012,18,2018-09-20
386,44786447,8809228158898,5,2019-05-21
387,44786447,8801056005237,6,2020-07-18
388,18908809,8809057795523,19,2018-07-21
389,18908809,8809323750027,18,2018-02-04
390,18908809,8803284605532,9,2020-05-05
391,18908809,8801056065768,13,2020-01-16
392,18908809,8809423620039,3,2018-03-12
393,18908809,8801056755010,1,2019-01-11
394,24958716,8806430012819,11,2020-06-09
395,24958716,8806002004044,15,2020-03-06
396,24958716,8801056042226,16,2018-01-15
397,24958716,8809221606204,16,2018-04-01
398,62000657,8801094222703,11,2018-07-04
399,62000657,8805915530633,1,2020-02-04
400,62000657,8809023009340,4,2018-06-03
401,56869991,8801043650700,20,2018-01-16
402,56869991,8809135308157,13,2019-07-12
403,60762571,8806020310530,4,2019-03-21
404,60762571,8801097178038,16,2019-04-02
405,60762571,8801056018160,15,2019-04-08
406,60762571,8809380760175,1,2018-04-19
407,60762571,8806001084894,16,2018-02-05
408,60762571,8809423870014,9,2020-03-13
409,60762571,8809323750027,11,2018-03-15
410,60762571,8801056033026,9,2018-06-21
411,60762571,8801382130840,5,2020-09-04
412,60762571,8801097250369,15,2020-07-10
413,42661611,8801097850019,9,2019-06-16
414,42661611,8801097250279,6,2020-05-18
415,42661611,8809424480021,6,2018-01-16
416,42661611,8809173200345,8,2019-02-15
417,42661611,8801382128694,8,2019-04-06
418,42661611,8801382128038,13,2019-08-02
419,42661611,8809027332932,19,2018-06-14
420,30937060,8809191574657,13,2020-02-05
421,30937060,8801097187016,9,2020-01-07
422,30937060,8809027331706,5,2018-07-05
423,30937060,8806001084887,8,2020-07-10
424,29229934,8802673003232,20,2018-09-13
425,29229934,8809023001269,10,2020-02-12
426,74405283,8801056064747,15,2020-06-04
427,74405283,8801043650199,9,2018-05-02
428,74405283,8801056006297,7,2018-02-16
429,74405283,8809045670115,3,2018-04-15
430,1253382,8804342387872,14,2019-04-14
431,92792755,8809023001269,3,2020-09-10
432,92792755,8802673003256,7,2020-05-06
433,92792755,8801094602406,7,2020-04-01
434,92792755,8809027331492,1,2018-06-20
435,92792755,8801056798017,1,2018-06-07
436,92792755,8802673003232,9,2020-05-09
437,92792755,8801094602406,12,2019-06-03
438,92792755,8801382134848,19,2020-08-21
439,92792755,8809382930248,11,2018-09-05
440,92792755,8806430012819,1,2019-05-01
441,16084165,8801056017583,17,2019-02-03
442,16084165,8801097130036,5,2020-08-09
443,16084165,8801056006259,4,2019-04-03
444,16084165,8809423870014,14,2018-03-02
445,16084165,8801056042226,3,2019-08-13
446,16084165,8801097178090,17,2018-04-10
447,16084165,8801056064747,13,2020-05-04
448,16084165,8801097278035,6,2019-03-09
449,19670444,8801094222406,15,2020-05-21
450,19670444,8801097130036,10,2020-02-09
451,19670444,8809382930231,5,2018-06-18
452,19670444,8802774000369,19,2018-09-06
453,19670444,8809253640177,11,2018-03-21
454,19670444,8807920310347,15,2018-05-08
455,9539662,8809023009593,4,2020-06-03
456,9539662,8809173200130,5,2019-04-17
457,9539662,8809135303633,19,2018-05-12
458,9539662,8809382930217,13,2020-08-20
459,9539662,8809050511083,4,2020-03-14
460,77264899,8802673003232,12,2018-09-19
461,77264899,8802774006927,6,2020-02-16
462,77264899,8801097278035,15,2020-05-08
463,77264899,8809068661077,10,2018-03-11
464,77264899,8809424480021,13,2020-09-09
465,51834828,8801104290357,15,2020-03-10
466,51834828,8801056064761,4,2019-03-18
467,51834828,8809082727537,11,2018-07-16
468,51834828,8809023003379,9,2018-01-19
469,51834828,8802673003300,12,2019-04-04
470,51834828,8809068661169,19,2020-09-08
471,51834828,8806002000794,6,2019-02-16
472,83674986,8809027331492,20,2018-07-08
473,83674986,8801056022112,9,2020-04-15
474,83674986,8806002010977,16,2018-07-08
475,83674986,8801097250383,12,2020-01-10
476,68423698,8801382134848,19,2020-09-16
477,68423698,8801382130840,4,2020-08-19
478,68423698,8801097250369,14,2019-05-05
479,68423698,8809125060850,15,2019-01-20
480,68423698,8801382130820,9,2018-06-03
481,68423698,8809191574664,7,2019-09-19
482,68423698,8801056022112,10,2019-08-02
483,13835742,8801382144830,3,2020-02-09
484,13835742,8809423870014,5,2020-06-17
485,13835742,8809027331492,6,2018-02-10
486,13835742,8801382134848,20,2019-07-16
487,13835742,8801056002541,20,2018-09-01
488,13835742,8809221606204,14,2019-08-09
489,13835742,8801056034740,10,2019-05-12
490,23194399,8801097178090,16,2020-07-18
491,82488059,8801052727837,19,2020-09-12
492,82488059,8806001084887,19,2018-02-21
493,82488059,8809382930224,12,2020-03-08
494,82488059,8801056002541,5,2019-04-11
495,82488059,8801056224158,8,2020-04-19
496,43685722,8801382135418,15,2018-03-02
497,43685722,8801052727851,6,2020-09-09
498,43685722,8801056024062,15,2018-09-05
499,43685722,8809027331492,3,2020-05-21
500,43685722,8809125060232,12,2018-08-04
501,43685722,8801056006259,1,2018-04-08
502,83608179,8806001084894,20,2020-07-10
503,83608179,8801056038649,11,2020-05-09
504,83608179,8809027331317,7,2020-03-02
505,83608179,8809135303640,11,2018-03-19
506,83608179,8801056055189,11,2018-03-05
507,83608179,8802673003263,4,2020-03-19
508,83608179,8801056233013,19,2018-03-13
509,83608179,8809027331706,20,2019-09-19
510,69229657,8809191574657,19,2020-04-03
511,69229657,8801056013110,6,2019-04-16
512,69229657,8802673003355,7,2020-06-09
513,69229657,8809191574640,17,2020-04-21
514,69229657,8809080300039,9,2020-06-01
515,69229657,8801056058227,13,2019-02-16
516,22456709,8809125064124,15,2020-02-18
517,22456709,8802673003300,3,2019-08-14
518,22456709,8801382128694,20,2019-04-12
519,22456709,8801056042219,20,2018-02-01
520,22456709,8801094502102,8,2019-01-07
521,41529344,8809027331744,8,2018-05-02
522,41529344,8809080300060,15,2019-09-13
523,80816700,8801056755010,18,2019-01-13
524,80816700,88004334,11,2018-08-12
525,80816700,8802673003300,2,2020-09-18
526,80816700,8802673003317,7,2019-09-06
527,92668453,8801056001841,14,2020-08-16
528,92668453,8801382130820,7,2019-01-14
529,92668453,8801382134824,4,2018-01-06
530,92668453,8809424480021,10,2018-02-10
531,92668453,8801094232702,4,2020-01-13
532,84636178,8801094222406,1,2019-04-16
533,84636178,8806002003931,5,2019-03-13
534,84636178,8804074600546,15,2018-07-07
535,66337357,8802673003317,18,2020-03-10
536,66337357,8801382138686,10,2020-04-06
537,66337357,8809228150021,14,2018-08-02
538,66337357,8802673003225,20,2020-04-13
539,66337357,8801094232702,18,2020-05-06
540,66337357,8809382930248,15,2020-07-06
541,66337357,8809191574695,18,2018-04-12
542,66337357,8809068661008,16,2018-01-19
543,66337357,8801097250053,16,2019-03-17
544,66337357,8807920310347,19,2018-03-03
545,57683926,8802673003317,18,2020-04-12
546,57683926,8801382134749,19,2020-05-20
547,57683926,8801056064747,14,2018-02-19
548,57683926,8801056042219,12,2020-01-21
549,57683926,8801753100885,7,2020-08-04
550,57683926,8801746672443,1,2018-01-17
551,57683926,8804074600546,9,2019-07-08
552,94497359,8809191574671,16,2018-04-15
553,94497359,8809106188092,17,2018-01-03
554,94497359,8801056714017,9,2018-02-12
555,94497359,8806001084542,4,2018-02-07
556,94497359,8809135303640,3,2020-01-20
557,94497359,88004334,15,2019-07-19
558,33711564,8809125060225,10,2020-07-04
559,33711564,8807920310347,18,2018-03-02
560,33711564,8809125060225,4,2018-05-15
561,33711564,8809423620022,4,2020-04-07
562,33711564,8809191574640,10,2018-07-04
563,78940889,8803284607659,7,2018-01-15
564,78940889,8801037018646,10,2019-03-20
565,78940889,8801097178021,10,2020-09-17
566,78940889,8801056065805,15,2020-09-10
567,26967266,8809228150014,2,2019-07-20
568,26967266,8801056033026,13,2018-05-03
569,26967266,8801056389017,15,2019-02-16
570,26967266,8801382130383,6,2019-01-06
571,71674028,8801056164011,7,2019-03-06
572,65636688,8801097178021,14,2019-08-07
573,65636688,8802673003218,10,2018-06-12
574,65636688,8801097187016,12,2018-01-12
575,65636688,8809027331713,17,2018-02-01
576,65636688,8809027331744,2,2020-04-05
577,65636688,8809068661176,3,2020-05-21
578,26256726,8801056017606,15,2019-01-13
579,26256726,8806002002894,2,2018-02-09
580,26256726,8801056065768,6,2020-07-01
581,26256726,8806003011522,6,2020-04-11
582,10825377,8809125060850,2,2018-03-15
583,96358984,8801056154066,15,2020-03-13
584,96358984,8801056006297,19,2019-09-15
585,96358984,8809045670115,8,2018-06-11
586,63261918,8801094222406,8,2018-05-07
587,31765493,8801382130820,1,2018-03-17
588,31765493,8801382135418,1,2018-03-20
589,31765493,8807920310347,18,2018-06-01
590,31765493,8801056755010,6,2018-01-17
591,95050801,8809080300060,10,2020-08-03
592,95050801,8801056688127,11,2020-03-19
593,95050801,8801094223007,3,2019-07-11
594,95050801,8809323750065,15,2018-05-20
595,95050801,8801052727837,7,2018-06-17
596,37202668,8801056007163,5,2019-03-21
597,37202668,8801382132455,11,2020-09-04
598,37202668,8801056015107,5,2019-08-20
599,37202668,8801037037869,1,2019-03-04
600,92398551,8802673003201,10,2018-09-12
601,27616123,8801056065805,19,2020-07-02
602,27616123,8809382930255,20,2019-02-19
603,27616123,8801097250079,1,2019-06-10
604,27616123,8801043650700,14,2019-09-06
605,27616123,8801382130840,6,2020-03-21
606,27616123,8809173200123,15,2020-09-16
607,27616123,8809050511144,1,2020-04-09
608,14384601,8803284605532,3,2018-09-12
609,14384601,8801056034740,7,2020-07-09
610,14384601,8801097618114,4,2020-06-13
611,4230668,8809191574695,5,2020-06-19
612,4230668,8801056714017,9,2018-03-20
613,4230668,8801056924011,12,2019-09-14
614,4230668,8809045670115,10,2019-01-13
615,4230668,8801056224158,9,2018-01-12
616,4230668,8809068661176,6,2020-03-11
617,34916164,8801094503505,10,2019-05-15
618,34916164,8801056224158,14,2019-06-09
619,34916164,8801097250369,12,2018-06-09
620,82127538,8801382134749,6,2020-05-12
621,82127538,8801056389017,3,2018-09-01
622,82127538,8809050511090,7,2020-08-12
623,82127538,8809110700051,19,2018-04-09
624,82127538,8801094602208,1,2020-09-02
625,82127538,8801056017583,17,2018-04-08
626,82127538,8809082727520,6,2018-01-05
627,82127538,8806020311353,9,2018-01-14
628,82127538,8801056038861,20,2019-02-05
629,35623789,8809027331744,9,2019-09-18
630,35623789,8801097250413,16,2018-06-14
631,35623789,8801056001841,17,2019-01-21
632,35623789,880105603886,15,2020-04-04
633,35623789,8809080300039,19,2020-03-16
634,35623789,8809382930200,2,2020-03-16
635,27033263,8809409910123,1,2019-03-14
636,27033263,880105603886,8,2018-01-14
637,27033263,8801056042219,12,2018-08-08
638,27033263,8806002010441,17,2018-08-10
639,27033263,8801056005719,9,2020-02-10
640,27033263,8801056007163,19,2019-08-04
641,27033263,8801097178014,14,2020-07-08
642,27033263,8802673003232,1,2020-01-04
643,27033263,8802774001014,11,2019-07-13
644,62756956,8809027332932,19,2018-03-14
645,62756956,8802673003355,10,2019-07-03
646,62756956,8809424480038,19,2018-07-01
647,56559705,8809323750065,5,2020-04-14
648,56559705,8806002010441,18,2019-09-16
649,56559705,8809082727537,9,2018-09-17
650,56559705,8805915531036,9,2018-04-17
651,56559705,8801056038861,3,2018-08-08
652,56559705,8802673003317,15,2018-04-15
653,56559705,8801052727837,15,2020-05-03
654,9868241,8809023001269,13,2020-02-12
655,9868241,8806002010571,7,2018-09-04
656,36200189,8804342398984,2,2018-09-08
657,36200189,8801056065805,16,2019-02-16
658,36200189,8809253640177,11,2020-02-19
659,36200189,8809424480038,13,2018-02-15
660,36200189,8809191574664,20,2020-06-18
661,36200189,8801056032388,8,2018-06-10
662,36200189,880105603886,9,2020-09-02
663,36200189,8801097250413,3,2018-09-06
664,36200189,8809423620008,15,2020-03-05
