,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
12,00000013,64620186,14372105,1,2020-09-18 05:39:14,2020-09-18 05:39:14,NULL,NULL,1,"[8801056018160, 8809106188092, 8801382132455]","[3, 1, 2]",45000
13,00000014,64620186,33463785,1,2020-09-16 03:15:41,2020-09-16 03:15:41,NULL,NULL,1,"[8801382130659, 8801097250079, 8809023009593, 8801056154066]","[2, 4, 1, 5]",113000
14,00000015,465593,98473237,3,2018-04-11 09:25:42,2018-04-11 09:36:52,NULL,2018-04-11 09:28:31,1,"[8801056018160, 8809332392768, 8801056042196]","[2, 5, 3]",70000
15,00000016,465593,34792150,1,2019-06-14 16:51:40,2019-06-14 16:51:40,NULL,NULL,3,"[8809045670115, 8801056154011]","[1, 3]",49000
16,00000017,465593,49416586,3,2019-04-12 06:27:26,2019-04-12 06:35:53,NULL,2019-04-12 06:30:25,4,"[8801056018160, 8801056003364, 8801056154011, 8801056487010]","[3, 2, 1, 4]",49000
17,00000018,465593,98446589,2,2020-01-14 03:07:37,2020-01-14 03:09:46,NULL,2020-01-14 03:09:46,3,"[8809106188092, 8809045670115]","[2, 1]",29000
18,00000019,465593,37194251,1,2020-09-19 08:47:11,2020-09-19 08:47:11,NULL,NULL,2,[8801382130820],[4],8000
19,00000020,465593,99699361,1,2018-05-20 06:59:44,2018-05-20 06:59:44,NULL,NULL,2,"[8809332392768, 8809023009593, 8801382139072]","[5, 3, 4]",89000
20,00000021,465593,59830938,4,2020-07-16 18:43:04,2020-07-16 18:47:23,2020-07-16 18:47:23,2020-07-16 18:44:53,3,"[8801056001841, 8809397830021, 8801097278035, 8801094223007, 8801056798017]","[4, 5, 2, 1, 3]",107000
21,00000022,465593,74883731,3,2019-06-13 15:01:20,2019-06-13 15:23:25,NULL,2019-06-13 15:03:48,4,"[8801056003364, 8801056042196, 8801382135418]","[4, 1, 3]",60000
22,00000023,465593,34157209,1,2018-07-05 10:31:33,2018-07-05 10:31:33,NULL,NULL,2,[8801097250079],[4],28000
23,00000024,465593,99208683,3,2019-01-15 07:31:24,2019-01-15 07:47:29,NULL,2019-01-15 07:32:46,4,"[8801382139072, 8809423870007, 8801056018160]","[3, 4, 2]",57000
24,00000025,465593,99208683,2,2019-02-21 22:33:47,2019-02-21 22:35:25,NULL,2019-02-21 22:35:25,1,"[8809106188092, 8809332392768, 8801097250079, 8801056688127]","[2, 4, 5, 3]",77000
25,00000026,465593,76430125,3,2018-02-09 14:35:00,2018-02-09 14:39:48,NULL,2018-02-09 14:37:42,3,[8801097278035],[1],18000
26,00000027,465593,22176965,3,2020-06-03 15:41:52,2020-06-03 15:46:04,NULL,2020-06-03 15:43:33,4,"[8801056003364, 8809397830021]","[4, 2]",46000
27,00000028,465593,96820813,1,2018-06-09 02:24:37,2018-06-09 02:24:37,NULL,NULL,2,"[8801382132455, 8809106188092, 8809023009593, 8802673003218, 8801382127284]","[2, 1, 5, 4, 3]",138000
28,00000029,465593,78189817,3,2019-05-17 19:30:25,2019-05-17 19:44:52,NULL,2019-05-17 19:32:57,4,[8809045670115],[2],24000
29,00000030,465593,84166398,2,2020-01-09 23:41:33,2020-01-09 23:43:40,NULL,2020-01-09 23:43:40,3,"[8801382139072, 8809423870007, 8809045670115]","[1, 2, 5]",77000
30,00000031,465593,34157209,2,2019-04-19 07:09:02,2019-04-19 07:11:54,NULL,2019-04-19 07:11:54,1,[8809045670115],[3],24000
31,00000032,465593,47033144,1,2018-06-06 05:16:01,2018-06-06 05:16:01,NULL,NULL,4,"[8809023009593, 8801056003364, 8801382130659, 8802673003317, 8809027331317]","[2, 4, 5, 1, 3]",117000
32,00000033,465593,38968808,3,2019-01-02 02:42:43,2019-01-02 02:56:18,NULL,2019-01-02 02:44:41,3,"[8809397830021, 8801382135418, 8801382132455, 8801056015107]","[4, 5, 2, 3]",81000
33,00000034,465593,21795031,3,2019-07-20 18:18:47,2019-07-20 18:28:10,NULL,2019-07-20 18:21:46,2,[8801382130659],[4],12000
34,00000035,27454806,14372105,4,2020-05-03 15:26:50,2020-05-03 15:31:39,2020-05-03 15:31:39,2020-05-03 15:28:58,5,"[8809106188092, 8801382130820]","[2, 4]",13000
35,00000036,27454806,89034567,1,2018-02-13 23:06:11,2018-02-13 23:06:11,NULL,NULL,5,[8801382130659],[4],12000
36,00000037,27454806,65410918,1,2019-01-15 03:22:05,2019-01-15 03:22:05,NULL,NULL,1,"[8801056001841, 8801056003364]","[2, 3]",19000
37,00000038,27454806,98473237,3,2020-08-12 18:42:46,2020-08-12 18:56:34,NULL,2020-08-12 18:45:40,4,"[8809423870007, 8801056154011]","[4, 1]",53000
38,00000039,27454806,21795031,2,2019-02-04 16:19:22,2019-02-04 16:22:20,NULL,2019-02-04 16:22:20,3,[8809423870007],[3],28000
39,00000040,27454806,76430125,1,2019-04-21 11:44:11,2019-04-21 11:44:11,NULL,NULL,4,[8801382132455],[1],36000
40,00000041,27454806,14729155,3,2018-06-20 03:01:52,2018-06-20 03:14:08,NULL,2018-06-20 03:03:20,1,"[8801382130820, 8801097278035]","[5, 1]",26000
41,00000042,27454806,98473237,2,2018-02-14 14:56:14,2018-02-14 14:58:52,NULL,2018-02-14 14:58:52,3,[8809045670115],[5],24000
42,00000043,27454806,22176965,4,2018-03-20 08:35:08,2018-03-20 08:39:46,2018-03-20 08:39:46,2018-03-20 08:37:27,1,"[8801382135418, 8809397830021, 8801097278035, 88004334, 8801097250079]","[5, 3, 4, 1, 2]",121000
43,00000044,27454806,61657168,4,2019-04-18 13:04:17,2019-04-18 13:09:41,2019-04-18 13:09:41,2019-04-18 13:05:23,1,[8809023009593],[1],36000
44,00000045,27454806,22176965,1,2019-09-07 10:03:39,2019-09-07 10:03:39,NULL,NULL,2,"[8801382135418, 8801056003364, 8809106188092]","[4, 2, 3]",27000
45,00000046,27454806,49616996,3,2018-05-02 05:00:32,2018-05-02 05:06:15,NULL,2018-05-02 05:03:27,4,"[8801382127574, 8801382130659, 8801382135418, 8801037018646, 8801043650199]","[4, 3, 1, 2, 5]",91000
46,00000047,27454806,99208683,3,2018-09-11 08:48:38,2018-09-11 08:53:06,NULL,2018-09-11 08:50:50,4,"[8809106188092, 8801382130659, 8801056003364, 8809027331706]","[3, 2, 4, 1]",65000
47,00000048,27454806,96820813,4,2018-01-20 15:59:48,2018-01-20 16:03:14,2018-01-20 16:03:14,2018-01-20 16:01:11,3,[8801382127574],[2],21000
48,00000049,27454806,54178025,2,2019-04-11 18:37:14,2019-04-11 18:39:24,NULL,2019-04-11 18:39:24,1,"[8801056042196, 8801056003364]","[3, 5]",51000
49,00000050,27454806,60170980,3,2018-09-07 02:45:41,2018-09-07 02:54:53,NULL,2018-09-07 02:47:04,4,[8809332392768],[5],28000
50,00000051,92712691,28606144,1,2019-04-06 14:19:16,2019-04-06 14:19:16,NULL,NULL,2,[8809106188092],[2],5000
51,00000052,92712691,38968808,4,2020-03-13 18:00:40,2020-03-13 18:06:06,2020-03-13 18:06:06,2020-03-13 18:01:52,2,"[8801056154011, 8801056018160, 8809397830021, 8801097130036, 8804074600546]","[3, 1, 4, 5, 2]",75000
52,00000053,92712691,47033144,4,2019-01-09 19:31:35,2019-01-09 19:34:06,2019-01-09 19:34:06,2019-01-09 19:33:04,5,[8801097278035],[1],18000
53,00000054,92712691,1477966,1,2019-01-06 07:08:27,2019-01-06 07:08:27,NULL,NULL,1,"[8809332392768, 8809045670115]","[3, 5]",52000
54,00000055,92712691,22176965,1,2019-03-11 14:16:11,2019-03-11 14:16:11,NULL,NULL,3,"[8801382130659, 8801056003364, 8801056003364, 8809173200130, 8801094482602]","[1, 5, 4, 3, 2]",86000
55,00000056,92712691,99388073,3,2019-04-20 19:29:41,2019-04-20 19:46:15,NULL,2019-04-20 19:30:58,3,[8801056003364],[1],13000
56,00000057,92712691,1435584,3,2020-04-10 01:36:54,2020-04-10 01:53:46,NULL,2020-04-10 01:38:22,4,"[8809397830021, 8801382132455, 8809023009593, 8809082727513]","[3, 4, 2, 5]",140000
57,00000058,92712691,99699361,3,2018-07-13 15:07:09,2018-07-13 15:18:27,NULL,2018-07-13 15:08:31,5,"[8801382139072, 8809423870007, 8801382130659, 8801056009731]","[3, 2, 5, 4]",86000
58,00000059,92712691,84166398,2,2018-03-16 13:53:02,2018-03-16 13:56:00,NULL,2018-03-16 13:56:00,2,"[8801382132455, 8801056003364, 8801056001841, 8801056003364]","[3, 5, 2, 4]",68000
59,00000060,92712691,7770833,2,2020-03-01 03:10:03,2020-03-01 03:12:40,NULL,2020-03-01 03:12:40,4,"[8801382135418, 8801382132455, 8801097278035]","[2, 1, 3]",63000
60,00000061,92712691,1477966,1,2020-07-11 13:05:18,2020-07-11 13:05:18,NULL,NULL,1,"[8809332392768, 8801056042196, 8801056018160, 8801056024062, 8805915531012]","[5, 2, 4, 1, 3]",101000
61,00000062,92712691,7770833,4,2019-06-21 03:22:04,2019-06-21 03:26:11,2019-06-21 03:26:11,2019-06-21 03:25:03,3,"[8801382139072, 8809045670115]","[5, 3]",49000
62,00000063,92712691,66679999,2,2020-08-15 06:13:38,2020-08-15 06:15:30,NULL,2020-08-15 06:15:30,4,"[8809397830021, 8801382130820]","[4, 2]",41000
63,00000064,92712691,99388073,3,2019-06-09 13:46:43,2019-06-09 13:58:00,NULL,2019-06-09 13:49:26,2,"[8801382135418, 8801382130659, 8801056001841]","[1, 4, 5]",27000
64,00000065,92712691,56856462,2,2020-08-14 01:53:21,2020-08-14 01:56:05,NULL,2020-08-14 01:56:05,5,"[8801056001841, 8801382130659, 8801382127574]","[4, 1, 2]",39000
65,00000066,92712691,18377790,1,2018-09-05 21:06:58,2018-09-05 21:06:58,NULL,NULL,3,"[8801056042196, 8801382135418, 8801056018160]","[4, 1, 5]",51000
66,00000067,92712691,99208683,3,2019-01-15 21:19:08,2019-01-15 21:37:59,NULL,2019-01-15 21:21:36,2,[8801382132455],[5],36000
67,00000068,92712691,44858354,3,2019-07-02 18:52:57,2019-07-02 18:56:23,NULL,2019-07-02 18:54:06,3,"[8801056003364, 8809332392768, 8809397830021, 8806001085020, 8801037037852]","[5, 3, 4, 1, 2]",137000
68,00000069,92712691,7770833,3,2020-03-12 23:16:32,2020-03-12 23:36:07,NULL,2020-03-12 23:18:44,4,[8801097250079],[2],28000
69,00000070,92712691,38968808,2,2020-04-15 17:58:56,2020-04-15 18:00:24,NULL,2020-04-15 18:00:24,3,"[8801382127574, 8809397830021, 8801056001841, 8809023009333, 8809057795523]","[3, 1, 2, 4, 5]",95000
70,00000071,1457050,22176965,3,2020-02-02 17:13:19,2020-02-02 17:30:31,NULL,2020-02-02 17:14:24,2,"[8801382130659, 8801056154011]","[2, 5]",37000
71,00000072,1457050,97713365,1,2018-02-06 19:31:25,2018-02-06 19:31:25,NULL,NULL,3,"[8801382139072, 8801097250079, 8809423870007, 8809106188092]","[4, 3, 5, 1]",86000
72,00000073,1457050,46239733,2,2018-06-10 04:52:32,2018-06-10 04:54:47,NULL,2018-06-10 04:54:47,2,"[8809106188092, 8801056018160, 8801382132455]","[1, 3, 5]",45000
73,00000074,1457050,1435584,4,2020-09-13 04:33:40,2020-09-13 04:38:13,2020-09-13 04:38:13,2020-09-13 04:35:41,3,"[8801056154011, 8801097250079, 8801382130820, 8809080300060]","[4, 3, 1, 5]",69000
74,00000075,1457050,9723056,4,2020-01-14 06:15:52,2020-01-14 06:19:16,2020-01-14 06:19:16,2020-01-14 06:17:10,5,"[8801382127574, 8809423870007]","[2, 5]",49000
75,00000076,1457050,84457962,3,2018-05-14 23:28:36,2018-05-14 23:48:25,NULL,2018-05-14 23:30:11,4,"[8809106188092, 8801382130820]","[2, 5]",13000
76,00000077,1457050,33463785,1,2018-09-09 05:17:06,2018-09-09 05:17:06,NULL,NULL,1,"[8801382130659, 8801097250079, 8801056042196, 8809027331744, 8809423620015]","[4, 5, 3, 2, 1]",109000
77,00000078,1457050,9723056,1,2018-06-10 16:56:09,2018-06-10 16:56:09,NULL,NULL,3,"[8809423870007, 8801382139072, 8801382132455, 8801753100892, 8801056755010]","[5, 2, 3, 1, 4]",113000
78,00000079,1457050,49616996,4,2019-02-09 20:31:34,2019-02-09 20:34:52,2019-02-09 20:34:52,2019-02-09 20:33:27,3,"[8801056003364, 8809332392768, 8801382130659, 8809409910123, 8801043650700]","[4, 2, 5, 3, 1]",75000
79,00000080,1457050,56140451,4,2019-08-21 01:56:03,2019-08-21 02:03:08,2019-08-21 02:03:08,2019-08-21 01:58:47,5,"[8801097278035, 8801056018160, 8801056003364, 8802673003201, 8809423620015]","[2, 4, 3, 5, 1]",63000
80,00000081,1457050,99208683,3,2018-08-09 08:23:15,2018-08-09 08:44:39,NULL,2018-08-09 08:25:04,3,"[8801382139072, 8809106188092]","[3, 1]",30000
81,00000082,1457050,76430125,1,2019-04-19 22:27:02,2019-04-19 22:27:02,NULL,NULL,5,"[8801382135418, 8801056003364]","[5, 1]",22000
82,00000083,1457050,14372105,1,2019-05-19 23:20:00,2019-05-19 23:20:00,NULL,NULL,4,"[8801056003364, 8801056001841, 8809423870007, 8801056013110, 8801056021062]","[2, 5, 4, 3, 1]",61000
83,00000084,1457050,9723056,1,2018-05-16 05:10:01,2018-05-16 05:10:01,NULL,NULL,1,"[8801382127574, 8801056042196, 8809423870007, 8801056032388]","[3, 2, 5, 1]",107000
84,00000085,1457050,98473237,4,2019-06-18 23:20:23,2019-06-18 23:26:27,2019-06-18 23:26:27,2019-06-18 23:23:17,5,"[8809397830021, 8801382130659, 8801097278035]","[5, 2, 4]",63000
85,00000086,1457050,98446589,4,2019-06-11 12:55:40,2019-06-11 12:59:35,2019-06-11 12:59:35,2019-06-11 12:58:08,5,"[8801382127574, 8801097278035]","[2, 3]",39000
86,00000087,1457050,56856462,3,2019-05-10 05:07:50,2019-05-10 05:19:51,NULL,2019-05-10 05:10:28,5,"[8809045670115, 8801382127574, 8801382130820, 88004334]","[3, 2, 4, 1]",86000
87,00000088,1457050,7770833,3,2018-03-17 23:05:46,2018-03-17 23:23:20,NULL,2018-03-17 23:08:07,5,"[8801382132455, 8801056003364, 8801097250079, 8801056298128, 8809003432328]","[4, 5, 1, 2, 3]",112000
88,00000089,1457050,96820813,4,2019-01-07 23:59:05,2019-01-08 00:02:44,2019-01-08 00:02:44,2019-01-08 00:00:32,1,"[8801382135418, 8801382130820]","[1, 3]",17000
89,00000090,1457050,49616996,3,2020-04-01 19:44:41,2020-04-01 20:04:54,NULL,2020-04-01 19:46:28,4,"[8801056001841, 8801056003364, 8801056042196, 8801056042196]","[4, 5, 2, 3]",95000
90,00000091,1457050,1477966,2,2020-04-06 20:49:40,2020-04-06 20:51:12,NULL,2020-04-06 20:51:12,5,"[8809332392768, 8809023009593, 8801382127574, 8801753100885, 8801056201012]","[4, 2, 3, 1, 5]",127000
91,00000092,1457050,49416586,3,2019-03-09 14:04:44,2019-03-09 14:16:18,NULL,2019-03-09 14:07:24,1,"[8801382132455, 8809423870007, 8809045670115, 8806001084894, 8806002010441]","[5, 1, 3, 4, 2]",130000
92,00000093,1457050,97713365,1,2020-02-16 23:20:05,2020-02-16 23:20:05,NULL,NULL,2,"[8801056001841, 8809023009593, 8801382127574, 8801056015107, 8809191574640]","[3, 2, 4, 5, 1]",83000
93,00000094,1457050,58832889,3,2019-02-03 07:30:04,2019-02-03 07:50:14,NULL,2019-02-03 07:32:55,3,"[8801382130659, 8801056003364, 8809045670115]","[5, 3, 4]",49000
94,00000095,1457050,36237228,4,2019-05-20 05:43:11,2019-05-20 05:47:42,2019-05-20 05:47:42,2019-05-20 05:46:07,4,"[8801382127574, 8809332392768, 8801382130820]","[1, 3, 4]",57000
95,00000096,66045735,1435584,1,2018-02-19 04:22:17,2018-02-19 04:22:17,NULL,NULL,1,"[8801382139072, 8801056001841, 8801056042196, 8801056055189]","[2, 1, 4, 5]",103000
96,00000097,66045735,49616996,1,2019-03-06 16:39:17,2019-03-06 16:39:17,NULL,NULL,2,"[8809106188092, 8801056003364, 8801382135418, 8809057550023]","[5, 3, 4, 2]",45000
97,00000098,66045735,14372105,2,2018-06-08 07:14:00,2018-06-08 07:16:30,NULL,2018-06-08 07:16:30,2,[8801382135418],[2],9000
98,00000099,66045735,58832889,3,2018-05-01 21:06:52,2018-05-01 21:12:48,NULL,2018-05-01 21:08:55,2,"[8801056003364, 8801097278035, 8801382139072]","[2, 5, 3]",56000
99,00000100,66045735,98446589,1,2018-07-16 02:03:46,2018-07-16 02:03:46,NULL,NULL,2,"[8801056018160, 8801382127574, 8801097278035, 8801056064747, 8809023009333]","[3, 4, 5, 1, 2]",58000
100,00000101,66045735,1435584,3,2019-09-07 18:12:10,2019-09-07 18:28:32,NULL,2019-09-07 18:13:38,5,"[8801056018160, 8809023009593, 8801056003364]","[4, 3, 5]",53000
101,00000102,66045735,49416586,2,2019-06-10 04:15:31,2019-06-10 04:17:42,NULL,2019-06-10 04:17:42,4,"[8809045670115, 8801056003364, 8809332392768]","[4, 3, 2]",65000
102,00000103,66045735,18377790,1,2018-09-14 09:28:28,2018-09-14 09:28:28,NULL,NULL,4,"[8809397830021, 8809332392768, 8801056018160, 8809082727537]","[2, 1, 5, 4]",88000
103,00000104,66045735,54178025,3,2020-04-18 13:09:52,2020-04-18 13:28:09,NULL,2020-04-18 13:12:10,1,[8801382139072],[1],25000
104,00000105,66045735,18377790,1,2019-03-10 07:20:57,2019-03-10 07:20:57,NULL,NULL,3,[8809023009593],[1],36000
105,00000106,66045735,49616996,4,2019-05-12 01:21:33,2019-05-12 01:26:27,2019-05-12 01:26:27,2019-05-12 01:23:29,4,"[8801382130820, 8801382135418, 8809423870007]","[1, 5, 3]",45000
106,00000107,66045735,42985112,4,2019-02-20 09:21:46,2019-02-20 09:28:21,2019-02-20 09:28:21,2019-02-20 09:24:35,4,"[8801056042196, 8801382127574, 8801056154011, 8801056001858]","[2, 3, 5, 4]",105000
107,00000108,66045735,84166398,2,2018-06-04 06:03:12,2018-06-04 06:05:58,NULL,2018-06-04 06:05:58,3,"[8801056003364, 8801056001841, 8801097278035, 8809135308157, 8801382138686]","[5, 4, 2, 1, 3]",89000
108,00000109,66045735,14729155,2,2019-09-14 08:04:30,2019-09-14 08:07:02,NULL,2019-09-14 08:07:02,1,"[8809023009593, 8801056042196, 8801382139072, 8802774006927]","[1, 4, 2, 3]",126000
109,00000110,66045735,56140451,1,2018-04-12 08:39:24,2018-04-12 08:39:24,NULL,NULL,1,"[8801056018160, 8801382127574]","[5, 1]",25000
110,00000111,66045735,14372105,2,2019-04-03 17:06:30,2019-04-03 17:07:41,NULL,2019-04-03 17:07:41,1,"[8801056154011, 8801056018160]","[2, 5]",29000
111,00000112,66045735,64577473,3,2020-09-14 15:34:29,2020-09-14 15:54:38,NULL,2020-09-14 15:37:14,4,"[8801056154011, 8809045670115, 8801382135418, 8801056036775, 8809323750027]","[3, 4, 2, 5, 1]",103000
112,00000113,66045735,1435584,2,2018-03-04 11:37:26,2018-03-04 11:40:13,NULL,2018-03-04 11:40:13,3,"[8801056003364, 8801382127574, 8809045670115]","[2, 4, 3]",58000
113,00000114,66045735,99208683,1,2020-04-02 16:37:43,2020-04-02 16:37:43,NULL,NULL,2,[8809397830021],[3],33000
114,00000115,66045735,47033144,2,2018-09-03 15:36:18,2018-09-03 15:37:38,NULL,2018-09-03 15:37:38,2,"[8801097278035, 8801382130659, 8809332392768, 8806002010465, 8805915530633]","[5, 2, 1, 4, 3]",115000
115,00000116,21775839,33463785,4,2020-06-07 07:39:57,2020-06-07 07:43:06,2020-06-07 07:43:06,2020-06-07 07:41:59,3,[8801382135418],[3],9000
116,00000117,21775839,84457962,3,2020-09-18 08:05:26,2020-09-18 08:10:28,NULL,2020-09-18 08:07:30,1,"[8801056001841, 8801382130659, 8809045670115, 8804342343434, 880105665874]","[4, 2, 5, 3, 1]",80000
117,00000118,21775839,18377790,1,2018-07-07 19:52:39,2018-07-07 19:52:39,NULL,NULL,3,"[8809423870007, 8801382135418]","[3, 2]",37000
118,00000119,21775839,18377790,1,2020-03-10 12:59:04,2020-03-10 12:59:04,NULL,NULL,3,"[8801056154011, 8801382139072, 8809332392768, 8806002003900, 8806002003023]","[2, 1, 3, 4, 5]",116000
119,00000120,21775839,1477966,1,2020-03-09 05:04:21,2020-03-09 05:04:21,NULL,NULL,1,[8801097278035],[3],18000
120,00000121,21775839,89034567,4,2019-09-08 20:36:28,2019-09-08 20:42:06,2019-09-08 20:42:06,2019-09-08 20:39:04,5,[8801382127574],[5],21000
121,00000122,21775839,92047329,4,2019-09-03 09:47:47,2019-09-03 09:53:24,2019-09-03 09:53:24,2019-09-03 09:49:04,4,[8801056003364],[5],13000
122,00000123,21775839,21795031,4,2018-05-06 04:14:20,2018-05-06 04:19:14,2018-05-06 04:19:14,2018-05-06 04:15:40,2,"[8801056018160, 8809423870007, 8801097250079]","[2, 1, 5]",60000
123,00000124,21775839,59830938,3,2018-09-12 22:47:26,2018-09-12 23:05:22,NULL,2018-09-12 22:49:53,4,"[8801097250079, 8801382135418, 8801382130820, 8801056042226]","[4, 1, 3, 5]",76000
124,00000125,21775839,66679999,3,2018-05-16 07:59:32,2018-05-16 08:16:13,NULL,2018-05-16 08:02:23,1,"[8801382127574, 8809397830021, 8801056003364, 8801037018646, 8809110700051]","[5, 4, 3, 1, 2]",109000
125,00000126,21775839,56140451,3,2019-03-16 18:42:38,2019-03-16 18:55:04,NULL,2019-03-16 18:43:40,1,[8801382139072],[1],25000
126,00000127,21775839,98473237,2,2019-02-08 17:11:50,2019-02-08 17:14:15,NULL,2019-02-08 17:14:15,2,"[8801056154011, 8801382139072, 8809332392768, 8801056036775, 8801097130012]","[1, 5, 3, 4, 2]",123000
127,00000128,64038681,64577473,1,2018-02-14 23:05:49,2018-02-14 23:05:49,NULL,NULL,2,[8801382130659],[4],12000
128,00000129,64038681,49416586,3,2018-03-11 14:58:38,2018-03-11 15:01:00,NULL,2018-03-11 14:59:53,3,"[8801056154011, 8801097250079, 8809423870007, 8809332392768, 8801056389017]","[4, 3, 5, 2, 1]",120000
129,00000130,64038681,21795031,1,2018-08-11 19:13:09,2018-08-11 19:13:09,NULL,NULL,1,"[8809423870007, 8801382130820, 8809397830021, 8809423620015]","[5, 2, 4, 1]",75000
130,00000131,64038681,37194251,4,2018-07-15 10:25:11,2018-07-15 10:31:19,2018-07-15 10:31:19,2018-07-15 10:28:04,2,"[8801056001841, 8809045670115]","[4, 5]",30000
131,00000132,64038681,65410918,3,2020-01-04 06:41:59,2020-01-04 06:55:37,NULL,2020-01-04 06:44:46,2,"[8809023009593, 8809397830021, 8801097278035, 8809110700044, 8809023009340]","[4, 5, 1, 3, 2]",160000
132,00000133,64038681,49616996,4,2019-01-19 17:09:44,2019-01-19 17:14:14,2019-01-19 17:14:14,2019-01-19 17:10:55,4,"[8809023009593, 8809397830021, 8801056001841, 8809382930200, 8809125060225]","[3, 1, 4, 2, 5]",104000
133,00000134,64038681,98473237,3,2019-08-12 07:15:09,2019-08-12 07:22:47,NULL,2019-08-12 07:17:16,5,"[8801056154011, 8801056003364, 8809423870007]","[1, 4, 5]",66000
134,00000135,64038681,38968808,1,2019-01-16 14:01:22,2019-01-16 14:01:22,NULL,NULL,4,"[8801056003364, 8809332392768, 8801056042196, 8801056006259, 8809173200123]","[2, 3, 5, 4, 1]",114000
135,00000136,64038681,49616996,4,2020-08-09 08:49:44,2020-08-09 08:55:30,2020-08-09 08:55:30,2020-08-09 08:51:23,1,"[8801097250079, 8809423870007, 8801382139072, 8809040935110]","[2, 1, 3, 4]",90000
136,00000137,64038681,78189817,3,2020-08-03 15:07:49,2020-08-03 15:11:43,NULL,2020-08-03 15:09:39,1,[8801056042196],[3],38000
137,00000138,64038681,28606144,3,2018-06-13 07:55:53,2018-06-13 08:09:29,NULL,2018-06-13 07:58:27,5,"[8809023009593, 8801056001841, 8801056003364, 8806002003931, 8809135303640]","[3, 2, 1, 4, 5]",97000
138,00000139,64038681,21795031,3,2018-01-10 15:53:21,2018-01-10 15:58:00,NULL,2018-01-10 15:55:18,1,"[8801056001841, 8809023009593]","[5, 3]",42000
139,00000140,64038681,99388073,1,2019-08-15 13:30:50,2019-08-15 13:30:50,NULL,NULL,2,"[8801382135418, 8801382130659]","[3, 4]",21000
140,00000141,64038681,84457962,1,2019-05-07 03:42:41,2019-05-07 03:42:41,NULL,NULL,4,"[8809332392768, 8801056001841]","[3, 2]",34000
141,00000142,64038681,60170980,4,2020-01-15 18:45:09,2020-01-15 18:50:24,2020-01-15 18:50:24,2020-01-15 18:46:38,5,[8809397830021],[2],33000
142,00000143,29463381,38968808,4,2019-07-18 23:34:40,2019-07-18 23:38:53,2019-07-18 23:38:53,2019-07-18 23:35:48,1,[8801382130659],[2],12000
143,00000144,29463381,98473237,3,2018-03-04 11:29:30,2018-03-04 11:53:22,NULL,2018-03-04 11:32:25,1,"[8801097278035, 8809332392768, 8801382132455, 8801094503901]","[5, 2, 4, 1]",100000
144,00000145,29463381,18377790,4,2019-06-10 13:48:08,2019-06-10 13:53:27,2019-06-10 13:53:27,2019-06-10 13:50:57,4,"[8809045670115, 8801097278035, 8801382130820, 8801097130036]","[3, 5, 1, 2]",55000
