브랜드,카테고리,지점,전화번호,주차시설,주소,위도,경도
이마트,마트,노브랜드 남양주오남점,031-575-0860,총 7대,경기 남양주시 오남읍 진건오남로 506 (오남리),37.5004641,127.0467225
이마트,마트,노브랜드 남양주진접점,031-575-6351,총 14대,경기 남양주시 진접읍 봉현로14번길 11 (장현리),37.5004641,127.0467225
이마트,마트,노브랜드 남양주퇴계원점,031-575-9305,총 5대,경기 남양주시 퇴계원면 퇴계원로 116,37.5004641,127.0467225
이마트,마트,노브랜드 남양주평내점,031-595-7506,총 7대,경기 남양주시 경춘로1308번길 8-9,37.5004641,127.0467225
이마트,마트,노브랜드 남양주호평점,031-595-6882,총 27대,경기 남양주시 호평로68번길 7 (호평동),37.5004641,127.0467225
이마트,마트,노브랜드 남양주화도2점,031-595-8795,총 100대,경기 남양주시 화도읍 경춘로 1645 C동 1층,37.5004641,127.0467225
이마트,마트,노브랜드 남양주화도점,031-595-9347,총 25대,경기 남양주시 화도읍 창현로 57 (창현리),37.5004641,127.0467225
이마트,마트,노브랜드 노원 중계점,02-3392-5380,총 대,서울 노원구 중계로 119,37.5004641,127.0467225
이마트,마트,노브랜드 노원상계점,02-3392-4882,총 2대,서울 노원구 수락산로 222,37.5004641,127.0467225
이마트,마트,노브랜드 논산내동점,041-736-9666,총 대,충남 논산시 시민로 275,37.5004641,127.0467225
이마트,마트,노브랜드 당진어시장점,041-357-9590,총 169대,충남 당진시 당진시장길 100 (읍내동),37.5004641,127.0467225
이마트,마트,노브랜드 당진원당점,041-356-9261,총 대,충남 당진시 원당로 42 (원당동),37.5004641,127.0467225
이마트,마트,노브랜드 대구매천점,053-322-0999,총 -대,"""대구 북구 매전로4길 32 (매천동",37.5004641,127.0467225
이마트,마트,노브랜드 대구봉무점,053-983-2929,총 null대,대구 동구 팔공로49길 15 (봉무동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대구사수점,053-321-1173,총 -대,대구 북구 내곡로 38-4 (사수동),37.5004641,127.0467225
이마트,마트,노브랜드 대구세천점,053-584-2526,총 -대,대구 달성군 다사읍 세천로 144,37.5004641,127.0467225
이마트,마트,노브랜드 대구옥포점,053-611-3800,총 -대,대구 달성군 옥포읍 돌미상업로2길 22-15,37.5004641,127.0467225
이마트,마트,노브랜드 대구월배시장점,053-637-9330,총 28대,대구 달서구 월배로24길 13 (진천동,37.5004641,127.0467225
이마트,마트,노브랜드 대구유가점,053-614-5151,총 -대,대구 달성군 유가읍 테크노상업로 120 (봉리,37.5004641,127.0467225
이마트,마트,노브랜드 대구율하점,053-965-1088,총 -대,대구 동구 안심로22길 60-23 (율하동) 117호,37.5004641,127.0467225
이마트,마트,노브랜드 대구학정점,053-312-3399,총 -대,대구 북구 학정로 535,37.5004641,127.0467225
이마트,마트,노브랜드 대구현풍점,053-614-6148,총 -대,대구 달성군 현풍읍 테크노대로 54 (중리) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대전 중촌동점,042-257-9952,총 대,대전 중구 대종로 626,37.5004641,127.0467225
이마트,마트,노브랜드 대전가수원점,042-543-8177,총 22대,대전 서구 도안동로12번길 9 (가수원동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대전가오2점,042-273-6060,총 -대,대전 동구 대전로 408 (가오동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대전가오점,042-286-9560,총 180대,대전 동구 은어송로 72 (가오동,37.5004641,127.0467225
이마트,마트,노브랜드 대전갈마점,042-537-8680,총 대,대전 서구 신갈마로 186 (갈마동,37.5004641,127.0467225
이마트,마트,노브랜드 대전관저2점,042-525-8998,총 -대,대전 서구 관저북로 19,37.5004641,127.0467225
이마트,마트,노브랜드 대전관저점,042-545-8521,총 64대,대전 서구 구봉로 139 (관저동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대전관평점,042-936-9607,총 4대,대전 유성구 테크노중앙로 60 (관평동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 대전노은점,042-824-7783,총 대,"""대전 유성구 노은동로75번길 52 (노은동",37.5004641,127.0467225
이마트,마트,노브랜드 대전둔산점,042-489-7801,총 44대,"""대전 서구 대덕대로 230 (둔산동",37.5004641,127.0467225
이마트,마트,노브랜드 대전문지점,042-862-8571,총 36대,대전 유성구 문지로299번길 66 (문지동),37.5004641,127.0467225
이마트,마트,노브랜드 대전산성시장점,042-587-9007,총 -대,대전 중구 보문산로63번길 23 (산성동),37.5004641,127.0467225
이마트,마트,노브랜드 대전세이점,042-257-9174,총 -대,"""대전 중구 계백로 1700 (문화동",37.5004641,127.0467225
이마트,마트,노브랜드 대전용계점,042-824-8979,총 40대,"""대전 유성구 도안북로 85-31 (용계동",37.5004641,127.0467225
이마트,마트,노브랜드 대전유성온천점,042-824-9058,총 50대,대전 유성구 계룡로 150 (봉명동) 1층 104~107호 (승호빌딩),37.5004641,127.0467225
이마트,마트,노브랜드 대전죽동점,042-824-4330,총 15대,"""대전 유성구 죽동로297번길 38 (죽동",37.5004641,127.0467225
이마트,마트,노브랜드 대전지족점,042-823-8342,총 12대,"""대전 유성구 지족북로 78 (지족동",37.5004641,127.0467225
이마트,마트,노브랜드 대전탄방점,042-489-8382,총 3대,대전 서구 탄방로 8 (탄방동) 제1층(진양빌딩),37.5004641,127.0467225
이마트,마트,노브랜드 대전판암점,042-286-8757,총 대,대전 동구 옥천로 178 (판암동),37.5004641,127.0467225
이마트,마트,노브랜드 동대문두타몰점,02-2279-7943,총 -대,"""서울 중구 장충단로 275 (을지로6가",37.5004641,127.0467225
이마트,마트,노브랜드 동대문장안점,02-2217-8101,총 90대,"""서울 동대문구 한천로 42 (장안동",37.5004641,127.0467225
이마트,마트,노브랜드 동해남부시장점,033-522-0690,총 대,강원 동해시 청운1길 29 (동회동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 마리오아울렛점,02-2067-2139,총 000대,"""서울 금천구 벚꽃로 266 (가산동",37.5004641,127.0467225
이마트,마트,노브랜드 마산현동점,055-221-0802,총 null대,경남 창원시 마산합포구 현동4길 10 (우산동),37.5004641,127.0467225
이마트,마트,노브랜드 문경모전점,054-553-8899,총 -대,경북 문경시 당교로 242 (모전동),37.5004641,127.0467225
이마트,마트,노브랜드 문경중앙시장점,054-555-6103,총 -대,"""경북 문경시 중앙시장길 25 (점촌동",37.5004641,127.0467225
이마트,마트,노브랜드 보령동대점,041-936-9780,총 20대,충남 보령시 한내로 73 (동대동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 부산다대점,051-266-8410,총 26대,부산 사하구 다대로 447 (다대동),37.5004641,127.0467225
이마트,마트,노브랜드 부산아웃렛점,051-940-1102,총 -대,"""부산 기장군 장안읍 정관로 1133 (좌천리",37.5004641,127.0467225
이마트,마트,노브랜드 부산아트몰링점,051-999-7314,총 200대,"""부산 사하구 낙동남로 1413 (하단동",37.5004641,127.0467225
이마트,마트,노브랜드 부천상2동점,032-329-8930,총 -대,"""경기 부천시 조마루로 87 (상동",37.5004641,127.0467225
이마트,마트,노브랜드 부천상동역점,032-329-9415,총 2대,경기 부천시 장말로 1,37.5004641,127.0467225
이마트,마트,노브랜드 부천상동점,032-329-9415,총 -대,경기 부천시 장말로 1,37.5004641,127.0467225
이마트,마트,노브랜드 부천옥길SF점,02-6386-1179,총 -대,"""경기 부천시 옥길로 1 (옥길동",37.5004641,127.0467225
이마트,마트,노브랜드 부천중동점,032-329-7674,총 78대,"""경기 부천시 부흥로315번길 58 (102",37.5004641,127.0467225
이마트,마트,노브랜드 삼척중앙시장점,033-575-9395,총 -대,"""강원 삼척시 진주로 12-21 (남양동",37.5004641,127.0467225
이마트,마트,노브랜드 서대문신촌점,02-362-9560,총 대,서울 서대문구 명물길 32,37.5004641,127.0467225
이마트,마트,노브랜드 서산예천점,041-668-8680,총 30대,충남 서산시 남부순환로 1037 (예천동),37.5004641,127.0467225
이마트,마트,노브랜드 서울서초G5점,02-537-8217,총 -대,"""서울 서초구 서초중앙로24길 27 (서초동",37.5004641,127.0467225
이마트,마트,노브랜드 서울서초점,02-537-8491,총 3대,서울 서초구 서초대로73길 7 (서초동),37.5004641,127.0467225
이마트,마트,노브랜드 서초방배점,02-2055-2148,총 -대,"""서울 서초구 방배로 110 (방배동",37.5004641,127.0467225
이마트,마트,노브랜드 성남 여수점,031-759-5697,총 8대,경기 성남시 중원구 연꽃로20번길 18-2,37.5004641,127.0467225
이마트,마트,노브랜드 성남 이매2점,031-724-0107,총 29대,경기 성남시 분당구 성남대로779번길 56,37.5004641,127.0467225
이마트,마트,노브랜드 세종나성점,044-868-3853,총 117대,"""세종특별자치시 한누리대로 275 (나성동",37.5004641,127.0467225
이마트,마트,노브랜드 세종대평시장점,044-868-8618,총 대,세종특별자치시 금남면 용포로 116 (용포리),37.5004641,127.0467225
이마트,마트,노브랜드 세종소담점,044-868-3481,총 67대,"""세종특별자치시 소담1로 16 (소담동",37.5004641,127.0467225
이마트,마트,노브랜드 세종아름점,044-868-3805,총 57대,"""세종특별자치시 보듬3로 150 (아름동",37.5004641,127.0467225
이마트,마트,노브랜드 세종조치원점,044-868-6170,총 -대,세종특별자치시 조치원읍 세종로 2282 (죽림리) 세종럭스스퀘어 1층,37.5004641,127.0467225
이마트,마트,노브랜드 속초조양점,033-637-7076,총 -대,강원 속초시 동해대로 4142 (조양동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 송파문정점,02-449-7210,총 180대,"""서울 송파구 법원로 55 (문정동",37.5004641,127.0467225
이마트,마트,노브랜드 수원 호매실2점,031-298-7450,총 대,경기 수원시 권선구 호매실로90번길 86,37.5004641,127.0467225
이마트,마트,노브랜드 수원망포점,031-273-8461,총 8대,경기 수원시 영통구 영통로200번길 130 (망포동),37.5004641,127.0467225
이마트,마트,노브랜드 수원영통점,031-273-8586,총 33대,경기 수원시 영통구 매영로 390,37.5004641,127.0467225
이마트,마트,노브랜드 수원오목천점,031-298-8559,총 6대,경기 수원시 권선구 오목천로 37 (오목천동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 수원이의점,031-216-6820,총 -대,"""경기 수원시 영통구 에듀타운로 84 (이의동",37.5004641,127.0467225
이마트,마트,노브랜드 수원천천점,031-271-9116,총 25대,경기 수원시 장안구 정자로20번길 10 (천천동),37.5004641,127.0467225
이마트,마트,노브랜드 수원호매실3호점,031-278-7022,총 대,경기 수원시 권선구 매실로69번길 2 (호매실동),37.5004641,127.0467225
이마트,마트,노브랜드 수원호매실점,031-278-7940,총 49대,경기 수원시 권선구 금곡로102번길 20 (금곡동),37.5004641,127.0467225
이마트,마트,노브랜드 수원화서점,031-278-5981,총 27대,경기 수원시 팔달구 화산로 56 (화서동),37.5004641,127.0467225
이마트,마트,노브랜드 스타필드 하남점,031-8069-4071,총 6200대,"""경기 하남시 미사대로 750 (신장동",37.5004641,127.0467225
이마트,마트,노브랜드 시흥목감점,031-487-8863,총 18대,경기 시흥시 목감둘레로 59-19,37.5004641,127.0467225
이마트,마트,노브랜드 시흥아울렛점,031-8072-3216,총 2000대,"""경기 시흥시 서해안로 699 (정왕동",37.5004641,127.0467225
이마트,마트,노브랜드 시흥정왕점,031-434-9716,총 16대,경기 시흥시 함송로 16 (정왕동),37.5004641,127.0467225
이마트,마트,노브랜드 아산둔포점,041-549-9606,총 대,"""충남 아산시 둔포면 아산밸리북로 48 (석곡리",37.5004641,127.0467225
이마트,마트,노브랜드 아산배방점,041-549-6197,총 31대,"""충남 아산시 배방읍 북수로 101 (북수리",37.5004641,127.0467225
이마트,마트,노브랜드 안동구시장점,054-857-9071,총 null대,경북 안동시 번영4길 15 (서부동),37.5004641,127.0467225
이마트,마트,노브랜드 안동옥동점,054-858-5859,총 -대,경북 안동시 경북대로 382 (옥동),37.5004641,127.0467225
이마트,마트,노브랜드 안산고잔점,031-487-9041,총 -대,경기 안산시 단원구 광덕2로 156,37.5004641,127.0467225
이마트,마트,노브랜드 안산이동점,031-502-2330,총 대,경기 안산시 상록구 중보로 23 (이동),37.5004641,127.0467225
이마트,마트,노브랜드 안성공도점,031-692-0980,총 80대,경기 안성시 공도읍 공도로 159 (만정리),37.5004641,127.0467225
이마트,마트,노브랜드 안성시장점,031-677-8911,총 15대,경기 안성시 시장길 37 (서인동) 지하1층,37.5004641,127.0467225
이마트,마트,노브랜드 안양평촌점,031-426-8662,총 10대,경기 안양시 동안구 흥안대로 451 (평촌동) A동,37.5004641,127.0467225
이마트,마트,노브랜드 양산물금2점,055-367-7083,총 64대,경남 양산시 물금읍 증산역로 167 (가촌리),37.5004641,127.0467225
이마트,마트,노브랜드 양산물금점,055-367-9692,총 40대,경남 양산시 물금읍 청운로 350 (범어리),37.5004641,127.0467225
이마트,마트,노브랜드 양주LF점,031-894-2650,총 500대,"""경기 양주시 평화로 1593 (회정동",37.5004641,127.0467225
이마트,마트,노브랜드 양주광사점,031-856-7955,총 -대,경기 양주시 고읍남로 7 (광사동),37.5004641,127.0467225
이마트,마트,노브랜드 양주덕정점,031-868-7741,총 14대,경기 양주시 화합로1402번길 9 (덕정동),37.5004641,127.0467225
이마트,마트,노브랜드 양주옥정점,031-862-8910,총 49대,경기 양주시 옥정동로7가길 44 (옥정동) 비타민프라자 1층,37.5004641,127.0467225
이마트,마트,노브랜드 엔터식스한양대점,02-6454-6150,총 347대,"""서울 성동구 왕십리로 241 (행당동",37.5004641,127.0467225
이마트,마트,노브랜드 여주한글시장점,031-886-9420,총 20대,"""경기 여주시 세종로14번길 18 (창동",37.5004641,127.0467225
이마트,마트,노브랜드 영등포양평점,02-2069-2390,총 5대,서울 영등포구 양평로 135 (양평동5가),37.5004641,127.0467225
이마트,마트,노브랜드 영등포여의도점,02-786-7668,총 123대,"""서울 영등포구 의사당대로 8 (여의도동",37.5004641,127.0467225
이마트,마트,노브랜드 영주가흥점,054-638-5859,총 -대,경북 영주시 대학로 248,37.5004641,127.0467225
이마트,마트,노브랜드 예천호명점,054-655-9954,총 -대,"""경북 예천군 호명면 양지로 14 (산합리",37.5004641,127.0467225
이마트,마트,노브랜드 오산갈곶점,031-678-6275,총 대,경기 오산시 오산로 51 (갈곶동),37.5004641,127.0467225
이마트,마트,노브랜드 오산금암점,031-378-2436,총 32대,경기 오산시 문헌공로 9,37.5004641,127.0467225
이마트,마트,노브랜드 오산수청점,031-378-7520,총 40대,경기 오산시 오산대역로 214 G플레이스 1층,37.5004641,127.0467225
이마트,마트,노브랜드 용인구갈점,031-693-6860,총 2대,경기 용인시 기흥구 구갈로60번길 17,37.5004641,127.0467225
이마트,마트,노브랜드 용인동천점,031-896-9241,총 6대,경기 용인시 수지구 동천로113번길 5 (동천동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 용인보라점,031-693-9951,총 50대,경기 용인시 기흥구 사은로 130 (보라동),37.5004641,127.0467225
이마트,마트,노브랜드 용인삼가점,031-323-6816,총 10대,경기 용인시 처인구 중부대로 1162 (삼가동),37.5004641,127.0467225
이마트,마트,노브랜드 용인상현점,031-216-9962,총 8대,경기 용인시 수지구 법조로 242 (상현동),37.5004641,127.0467225
이마트,마트,노브랜드 용인성복점,031-896-8950,총 72대,경기 용인시 수지구 수지로 124,37.5004641,127.0467225
이마트,마트,노브랜드 용인신봉점,031-896-7813,총 6대,경기도 용인시 수지구  신봉3로7번길 3 3,37.5004641,127.0467225
이마트,마트,노브랜드 용인죽전점,031-889-3977,총 6대,경기 용인시 수지구 현암로 92,37.5004641,127.0467225
이마트,마트,노브랜드 용인청덕점,031-693-5850,총 843대,"""경기 용인시 기흥구 구성로 357 (청덕동",37.5004641,127.0467225
이마트,마트,노브랜드 울산달동점,052-267-4768,총 29대,울산 남구 왕생로 58 (달동),37.5004641,127.0467225
이마트,마트,노브랜드 울산무거점,052-277-9968,총 -대,울산 남구 대학로 137,37.5004641,127.0467225
이마트,마트,노브랜드 울산방어점,052-209-2425,총 -대,울산 동구 문현로 1 (방어동),37.5004641,127.0467225
이마트,마트,노브랜드 울산범서점,052-243-8766,총 -대,울산 울주군 범서읍 구영로 126 (구영리) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 울산삼산점,052-276-9641,총 -대,울산 남구 화합로 152 (삼산동),37.5004641,127.0467225
이마트,마트,노브랜드 울산성남점,053-243-8987,총 253대,울산 중구 젊음의2거리 33 (성남동) 2층 (리버플레이스 빌딩),37.5004641,127.0467225
이마트,마트,노브랜드 울산신천점,052-294-7781,총 50대,울산 북구 호계로 337-10 (신천동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 울산유곡점,052-245-5403,총 -대,울산 중구 종가3길 18 (유곡동),37.5004641,127.0467225
이마트,마트,노브랜드 원주단계점,033-748-7358,총 -대,강원 원주시 백간길 37-6,37.5004641,127.0467225
이마트,마트,노브랜드 원주단구점,033-764-3275,총 13대,강원 원주시 단구로 355 (단구동),37.5004641,127.0467225
이마트,마트,노브랜드 원주무실점,033-747-5827,총 57대,강원 원주시 능라동길 34 (무실동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 원주반곡점,033-737-0580,총 155대,강원 원주시 황금로 8 (반곡동) 1층,37.5004641,127.0467225
이마트,마트,노브랜드 원주지정점,033-737-0512,총 대,강원 원주시 지정면 신지정로 192 (가곡리) 1층 101호 ~ 110호,37.5004641,127.0467225
이마트,마트,노브랜드 위례STF점,031-8097-1348,총 대,"""경기 하남시 위례대로 200 (학암동",37.5004641,127.0467225
이마트,마트,노브랜드 위례창곡점,031-759-9296,총 50대,"""경기 성남시 수정구 위례광장로 322 (창곡동",37.5004641,127.0467225
이마트,마트,노브랜드 은평진관점,02-389-6011,총 96대,"""서울 은평구 진관2로 19 (진관동",37.5004641,127.0467225
