,물건명,가격,대분류,소분류,중분류,판매자,업데이트,바코드,ID
21,청정원 마시는 홍초검은콩900ml,8000,가공식품,음료베이스,기타음료,대상(주),2015-01-22 11:12:12.0,8801052727837,1993033606097
22,정관장홍삼톤F 150MLx9`S,37000,가공식품,인삼.홍삼음료,음료류,(주)한국인삼공사,2015-01-22 11:12:12.0,8809023009340,1996047003765
23,정관장 홍삼톤 -F,36000,가공식품,인삼.홍삼음료,음료류,(주)한국인삼공사,2015-01-22 11:12:12.0,8809023009593,1996047003765
24,정관장홍삼톤F 15ML*10 150ML,4000,가공식품,인삼.홍삼음료,음료류,(주)한국인삼공사,2015-01-22 11:12:12.0,8809023009333,1996047003765
25,(주)한국인삼공사 정관장 홍삼톤F,28000,가공식품,인삼.홍삼음료,음료류,(주)한국인삼공사,2015-01-22 11:12:12.0,8809332392768,1996047003765
26,차그린 키위7 과즙40% 480ML,9000,가공식품,과.채음료,과일.채소류음료,(주)고려에프앤비,2015-01-22 11:12:12.0,8809040935110,2001044002428
27,고려인삼진 100ml(52포),32000,가공식품,인삼.홍삼음료,음료류,큰바위식품,2015-01-22 11:12:12.0,8809110700051,200304670032
28,고려인삼진100ml(13포),36000,가공식품,인삼.홍삼음료,음료류,큰바위식품,2015-01-22 11:12:12.0,8809110700044,200304670032
29,웅진식품 장쾌삼산삼배양근85ML*10 - BOTTLE,15000,가공식품,인삼.홍삼음료,음료류,웅진식품(주),2015-01-22 11:12:12.0,8801382134824,19960458039285
30,장쾌삼 산삼배양근,13000,가공식품,인삼.홍삼음료,음료류,웅진식품(주),2015-01-22 11:12:12.0,8801382138686,19960458039285
31,웅진 장쾌삼 산삼배양근 50ml*10,9000,가공식품,인삼.홍삼음료,음료류,웅진식품(주),2015-01-22 11:12:12.0,8801382135418,19960458039285
32,(주)한국인삼공사 굿베이스 홍삼틴케어,24000,가공식품,인삼.홍삼음료,음료류,(주)한국인삼공사,2015-01-22 11:12:12.0,8809023003379,19960470037227
33,아라비카100 블랙믹스 100T,20000,가공식품,커피,음료류,동서식품(주),2015-01-22 11:12:12.0,8801037037869,1986058904352
34,아라비카100블랙믹스 20T,25000,가공식품,커피,음료류,동서식품(주),2015-01-22 11:12:12.0,8801037037852,1986058904352
35,동서벌꿀음료 180ML,10000,가공식품,혼합음료,기타음료,동서식품(주),2015-01-22 11:12:12.0,8801037018646,1993044304628
36,퓨어플러스 유기농믹스 150ml,29000,가공식품,과.채주스,과일.채소류음료,퓨어플러스(주),2015-01-22 11:12:12.0,8809125060836,20020623009104
37,퓨어플러스 유기농믹스 245ml,19000,가공식품,과.채주스,과일.채소류음료,퓨어플러스(주),2015-01-22 11:12:12.0,8809125060225,20020623009104
38,유기농믹스세트,4000,가공식품,과.채주스,과일.채소류음료,퓨어플러스(주),2015-01-22 11:12:12.0,8809125060232,20020623009104
39,퓨어플러스 유기농 사과쥬스 1000ML x 1EA,24000,가공식품,과.채주스,과일.채소류음료,퓨어플러스(주),2015-01-22 11:12:12.0,8809125064124,20020623009105
40,퓨어플러스 유기농사과 150ml,14000,가공식품,과.채주스,과일.채소류음료,퓨어플러스(주),2015-01-22 11:12:12.0,8809125060850,20020623009105
41,상큼하게포도파우치1팩100ML,4000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930224,2010049401815
42,상큼하게포도40팩,3000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930255,2010049401815
43,예쁘게사과파우치1팩100ML,7000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930217,2010049401814
44,자신있게감귤40팩,26000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930231,2010049401813
45,자신있게감귤파우치1팩100ML,10000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930200,2010049401813
46,예쁘게사과40팩,37000,가공식품,과.채음료,과일.채소류음료,(주)담수연,2015-01-22 11:12:12.0,8809382930248,2010049401814
47,풍기인삼농협 황풍정 프리미엄 홍삼흑초,7000,가공식품,음료베이스,기타음료,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12.0,8809050511090,2002055400554
48,풍기인삼농협 황풍정 프리미엄 홍삼생초,14000,가공식품,음료베이스,기타음료,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12.0,8809050511083,2002055400553
49,풍기인삼농협 황풍정 홍삼액 수 50ml*30포,23000,가공식품,인삼.홍삼음료,음료류,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12.0,8809050511144,2002055400552
50,황풍정홍삼액수,12000,가공식품,인삼.홍삼음료,음료류,풍기인삼협동조합(풍기인삼농협),2015-01-22 11:12:12.0,8809050511038,2002055400552
51,트로피카나 스무디 바나나망고235㎖,28000,가공식품,과.채주스,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056038649,19780368002344
52,롯데칠성음료 트로피카나 복숭아라떼 300ml펫,16000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056058227,19780368002384
53,광동제약(주) 비타500F 240ml,12000,가공식품,혼합음료,기타음료,광동제약(주),2015-01-22 11:12:12.0,8806002010977,19960308010338
54,밀키스 250ML,25000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056154011,1978036800228
55,밀키스500ml,21000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056755010,1978036800228
56,롯데칠성 밀키스 250MLx6`S,37000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056154066,1978036800228
57,밀키스 1.5L,5000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056201012,1978036800228
58,밀키스오리지널250ml,9000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056164011,1978036800228
59,산수유210ml,13000,가공식품,혼합음료,기타음료,광동제약(주),2015-01-22 11:12:12.0,8806002003931,1996030801014
60,산수유210m*10,20000,가공식품,혼합음료,기타음료,광동제약(주),2015-01-22 11:12:12.0,8806002004044,1996030801014
61,산수유(100ml),40000,가공식품,혼합음료,기타음료,광동제약(주),2015-01-22 11:12:12.0,8806002002894,1996030801014
62,광동산수유100ML*10,11000,가공식품,혼합음료,기타음료,광동제약(주),2015-01-22 11:12:12.0,8806002003900,1996030801014
63,생로얄에프/100*20,28000,가공식품,과.채음료,과일.채소류음료,광동제약(주),2015-01-22 11:12:12.0,8806002000794,1996030801012
64,홍삼애,19000,가공식품,인삼.홍삼음료,음료류,바이셀,2015-01-22 11:12:12.0,8809323750065,201104440186
65,뿌리전체를 갈아만든 발효홍삼 파우치,33000,가공식품,인삼.홍삼음료,음료류,바이셀,2015-01-22 11:12:12.0,8809323750010,201104440181
66,뿌리전체를 갈아만든 발효홍삼 박스,33000,가공식품,인삼.홍삼음료,음료류,바이셀,2015-01-22 11:12:12.0,8809323750027,201104440181
67,펩시넥스1.25펫,20000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056032388,1984022101057
68,롯데칠성음료 트레비 라임 500ml펫,34000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056055189,1984022101056
69,(주)휴럼 이마트 유기농석류즙_50ml*21ea,38000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574664,20080415099117
70,(주)휴럼 이마트 유기농석류즙_50ml*7ea,26000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574657,20080415099117
71,고려홍삼생녹용원골드 50ml×5,9000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331713,19970378043130
72,고려홍삼생녹용원골드 50㎖×30/p.c,35000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331706,19970378043130
73,고려생산삼뿌리배양근 20㎖×30/dual p.c,25000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331744,19970378043124
74,고려 생산삼뿌리배양근 20㎖×10/p.c,9000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331492,19970378043124
75,고려 홍삼대보원액 80㎖×60,22000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331324,19970378043121
76,고려 홍삼대보원액 80㎖×30,19000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027331317,19970378043121
77,고려홍삼대보원액 80ml×5,34000,가공식품,인삼.홍삼음료,음료류,고려인삼연구(주),2015-01-22 11:12:12.0,8809027332932,19970378043121
78,(주)휴럼 이마트 유기농석류즙(파우치)_50ml x 1EA,17000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574640,20080415099117
79,(주)휴럼 이마트 유기농블루베리즙_50ml*7ea,11000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574688,20080415099118
80,(주)휴럼 이마트 유기농블루베리즙(파우치)_50ml x 1EA,36000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574671,20080415099118
81,(주)휴럼 이마트 유기농블루베리즙_50ml*21ea,32000,가공식품,과.채주스,과일.채소류음료,(주)휴럼,2015-01-22 11:12:12.0,8809191574695,20080415099118
82,(주)담터 헤이즐넛향커피믹스,13000,가공식품,커피,음료류,(주)담터,2015-01-22 11:12:12.0,8803284607659,19710372001143
83,담터]애플에이드15T,13000,가공식품,음료베이스,기타음료,(주)담터,2015-01-22 11:12:12.0,8803284605464,19710372001141
84,담터]애플에이드60T,10000,가공식품,음료베이스,기타음료,(주)담터,2015-01-22 11:12:12.0,8803284605532,19710372001141
85,펩시콜라블루500,30000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056002541,2000036037219
86,네스티 블랙커런트맛 240ML,12000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094483005,19740344001149
87,네스티 블랙커런트맛 500ML,21000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094482602,19740344001149
88,조지아커피 오리지널(5+1) 240*6,36000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094503031,19740344001148
89,조지아 오리지널 PET 280ml,40000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094502102,19740344001148
90,한국코카콜라 조지아오리지날240ML - CAN,10000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094503000,19740344001148
91,한국코카콜라 조지아오리지날175ML - CAN,15000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094503505,19740344001148
92,조지아 오리지날 1/2,20000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094563004,19740344001148
93,조지아커피 오리지널 150ml,18000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094503901,19740344001148
94,소켄비차1.5L,35000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094602406,19740344001147
95,소켄비차350ml,6000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094602208,19740344001147
96,코카콜라_소켄비차 240ml,9000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094603007,19740344001147
97,한국코카콜라 파워에이드비타레몬600ML - PET BOTTLE,13000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094232702,19740344001145
98,파워에이드 아쿠아 그레이프후르트 맛 1.5L,34000,가공식품,혼합음료,기타음료,한국코카콜라(유),2015-01-22 11:12:12.0,8801094222406,19740344001144
99,파워에이드 아쿠아그레이프후르트 맛 240ml,27000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094223007,19740344001144
100,파워에이드_아쿠아 그레이프_240ML*6,21000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094223038,19740344001144
101,파워에이드 아쿠아 그레이프후르트 맛 600ML,18000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094222703,19740344001144
102,네스티 달콤한 꿀맛배 240ML,14000,가공식품,혼합음료,기타음료,한국코카콜라(주),2015-01-22 11:12:12.0,8801094473006,19740344001142
103,2%사과1.5L,15000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056005719,19780368002405
104,롯)비타파워250ml,35000,가공식품,혼합음료,기타음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056006297,19780368002251
105,스위플 레드오렌지 200ml,37000,가공식품,혼합음료,기타음료,(학)연세대학교연세우유,2015-01-22 11:12:12.0,8801753100885,1993046102297
106,스위플 레드오렌지 200ml*24,3000,가공식품,혼합음료,기타음료,(학)연세대학교연세우유,2015-01-22 11:12:12.0,8801753100892,1993046102297
107,홍삼음료 180ML,25000,가공식품,인삼.홍삼음료,음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056001285,19780368002269
108,꿀홍삼180*12,36000,가공식품,혼합음료,기타음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056030649,19780368002268
109,모메존석류(캔),21000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056009731,19780368002265
110,롯데비타파워병(210ml),34000,가공식품,혼합음료,기타음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056007163,19780368002251
111,롯데비타파워병(100ml),19000,가공식품,혼합음료,기타음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056005237,19780368002251
112,롯데칠성음료(주) 핫식스360ml,13000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056051747,19780368002342
113,롯데칠성음료 핫식스 핫식스 250ml*10,8000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056054984,19780368002342
114,롯데핫식스250ml,13000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,880105603886,19780368002342
115,델몬트프리미엄사과180ml,12000,가공식품,과.채주스,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056036775,19780368002341
116,(롯데)미린다 포도 200ML*6,32000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056006259,19780368002337
117,광동산삼배양근眞75ml*10,19000,가공식품,인삼.홍삼음료,음료류,광동제약(주),2015-01-22 11:12:12.0,8806002003030,1996030801016
118,광동산삼배양근眞75ml,27000,가공식품,인삼.홍삼음료,음료류,광동제약(주),2015-01-22 11:12:12.0,8806002003023,1996030801016
119,키위쉐이크,3000,가공식품,음료베이스,기타음료,참존식품,2015-01-22 11:12:12.0,8809173200123,2000016365369
120,딸기쉐이크,21000,가공식품,음료베이스,기타음료,참존식품,2015-01-22 11:12:12.0,8809173200345,2000016365361
121,딸기쉐이크,27000,가공식품,음료베이스,기타음료,참존식품,2015-01-22 11:12:12.0,8809173200130,2000016365361
122,망고,6000,가공식품,음료베이스,기타음료,참존식품,2015-01-22 11:12:12.0,8809173200147,2000016365334
123,포카리스웨트 620ML,28000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250079,1973028800610
124,포카리스웨트1.8ℓ,4000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250369,1973028800610
125,포카리스웨트+오란씨 1.5L*2,35000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097178014,1973028800610
126,(동아)포카리스웨트620ML*3,40000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097187016,1973028800610
127,포카리+그린타임 1.5L*2,39000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097178021,1973028800610
128,포카리스웨트1.8ℓ+1.5ℓ,9000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250383,1973028800610
129,포카리+블랙빈테라피1.5L*2,40000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097178090,1973028800610
130,포카리스웨트500*4,17000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250053,1973028800610
131,포카리스웨트620,32000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250279,1973028800610
132,포카리기획1.5*2,18000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097278035,1973028800610
133,동아]포카리스웨트1.5Lpt,3000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097618114,1973028800610
134,*포카리290mlNB캔(기획),19000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097850019,1973028800610
135,오란씨 포도맛 250ML,6000,가공식품,탄산음료,탄산음료류,동아오츠카(주),2015-01-22 11:12:12.0,8801097131019,197302880067
136,오란씨 포도맛 1.5L,27000,가공식품,탄산음료,탄산음료류,동아오츠카(주),2015-01-22 11:12:12.0,8801097231016,197302880067
137,오란씨그레이프,5000,가공식품,탄산음료,탄산음료류,동아오츠카(주),2015-01-22 11:12:12.0,8801097130036,197302880067
138,오란씨그레이프,33000,가공식품,탄산음료,탄산음료류,동아오츠카(주),2015-01-22 11:12:12.0,8801097130012,197302880067
139,포카리스웨트1.5L+오란씨파인1.5L,34000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097178038,1973028800610
140,포카리스웨트 245ML,9000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097150010,1973028800610
141,포카리스웨트 알칼리성이온음료 340ML,3000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250413,1973028800610
142,포카리스웨트 1.8ℓ * 2,22000,가공식품,혼합음료,기타음료,동아오츠카(주),2015-01-22 11:12:12.0,8801097250376,1973028800610
143,자연주의친환경100%원액머루포도주스,29000,가공식품,과.채주스,과일.채소류음료,(주)웰팜,2015-01-22 11:12:12.0,8809135303640,20030445042115
144,자연주의 친환경100%원액 포도주스,8000,가공식품,과.채주스,과일.채소류음료,(주)웰팜,2015-01-22 11:12:12.0,8809135303633,20030445042111
145,행복한 본성 음료 100ml,5000,가공식품,혼합음료,기타음료,셀루스(주),2015-01-22 11:12:12.0,8809106188092,2002044518127
146,웅)자연은레드오렌지180ml(병),8000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382130820,19960458039201
147,자연은레드오렌지180,6000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382130826,19960458039201
148,자연은레드오렌지180ml*12,35000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382130840,19960458039201
149,웅진식품 자연은내사랑토마토180ML - BOTTLE,12000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382130659,19960458039194
150,자연은 내사랑 토마토 1+1,25000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382139072,19960458039194
151,자)내사랑토마토+오렌지1.5*2,26000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382130383,19960458039194
152,웅진제주감귤,38000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382127284,19960458039227
153,웅진제주감귤세트,21000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382127574,19960458039227
154,제주감귤,32000,가공식품,과.채음료,과일.채소류음료,웅진식품(주),2015-01-22 11:12:12.0,8801382127567,19960458039227
155,미린다포도190㎖*6캔,16000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056034740,19780368002337
156,롯데칠성음료 델몬트오리지널알로에CAN180ML - CAN,28000,가공식품,혼합음료,기타음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056022112,19780368002195
157,트로피카나 자몽플러스1.5펫,11000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056064747,19780368002410
158,트로피카나 자몽플러스300펫,29000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056064761,19780368002410
159,(주)롯데칠성음료 델몬트 아사이베리&블루베리 1.5L,30000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056065829,19780368002409
160,(주)롯데칠성음료 델몬트 아사이베리&블루베리 300ml,35000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,880105665874,19780368002409
161,(주)롯데칠성음료 델몬트 크랜베리&스트로베리 1.5L,21000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056065768,19780368002408
162,롯데칠성음료(주) 델몬트 크랜베리&스트로베리 300ml,6000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056065805,19780368002408
163,2%사과240캔*1,38000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056042196,19780368002405
164,2%사과240*6캔어플리,31000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056042219,19780368002405
165,2%사과350펫어플리,31000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056042226,19780368002405
166,2%사과350펫,29000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056033057,19780368002405
167,2%사과240캔,9000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056033026,19780368002405
168,롯)2%-사과캔,29000,가공식품,과.채음료,과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056005672,19780368002405
169,핫식스,23000,가공식품,탄산음료,탄산음료류,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056038861,19780368002342
170,한국삼 금산명품홍삼 60ml*60포,36000,가공식품,인삼.홍삼음료,음료류,한국삼,2015-01-22 11:12:12.0,8809228150021,200204672152
171,한국삼 금산명품홍삼 60ml*30포,22000,가공식품,인삼.홍삼음료,음료류,한국삼,2015-01-22 11:12:12.0,8809228150014,200204672152
172,대웅 홍삼 골드,7000,가공식품,인삼.홍삼음료,음료류,(주)동서제약웰빙,2015-01-22 11:12:12.0,8809253640177,20050555180212
173,히야 오렌지180ML,20000,가공식품,농축과.채즙(또는 과.채분),과일.채소류음료,롯데칠성음료(주),2015-01-22 11:12:12.0,8801056924011,19780368002220
174,보령제약 알틴제로 100ml*3,22000,가공식품,혼합음료,기타음료,보령제약(주),2015-01-22 11:12:12.0,8806003011522,19940311001126
175,프리미어 모카 마일드 커피믹스 1㎏,4000,가공식품,커피,음료류,중앙식품산업사,2015-01-22 11:12:12.0,8804342398984,1995044000242
176,중앙 모카마일드 1㎏,34000,가공식품,커피,음료류,중앙식품산업사,2015-01-22 11:12:12.0,8804342387872,1995044000239
177,커피랑 커피카페 1㎏,3000,가공식품,커피,음료류,중앙식품산업사,2015-01-22 11:12:12.0,8804342343434,1995044000231
178,커피랑 커피믹스 1㎏,24000,가공식품,커피,음료류,중앙식품산업사,2015-01-22 11:12:12.0,8804342310108,1995044000230
179,장쾌삼 발효홍삼 원(元) 세트 병,35000,가공식품,인삼.홍삼음료,음료류,웅진식품(주),2015-01-22 11:12:12.0,8801382134749,19960458039283
180,장괘삼 발효홍삼 원(元) 모둠3호,30000,가공식품,인삼.홍삼음료,음료류,웅진식품(주),2015-01-22 11:12:12.0,8801382137405,19960458039283
