,주문번호ID,구매자id,판매점id,주문상태,주문일,상태변경일,취소날짜,승인날짜,결제수단,주문상품목록,주문상품갯수,총결제금액
22,00000023,64620186,27206775,2,2018-03-16 17:38:08,2018-03-16 17:39:50,NULL,2018-03-16 17:39:50,3,"[8809332391303, 8809068661169, 8801056001858, 8809191574671]","[5, 1, 4, 3]",119000
23,00000024,64620186,76430125,2,2020-06-15 22:45:27,2020-06-15 22:46:51,NULL,2020-06-15 22:46:51,3,"[8806002010427, 8804342398984, 8801043900027, 8802673003362, 8809409910123]","[3, 4, 2, 1, 5]",75000
24,00000025,64620186,84457962,4,2020-07-13 17:54:06,2020-07-13 17:59:36,2020-07-13 17:59:36,2020-07-13 17:55:19,4,"[8801056064761, 8809332391303, 8801056001858, 8809173200130]","[5, 1, 3, 2]",111000
25,00000026,64620186,37194251,1,2019-02-13 15:08:20,2019-02-13 15:08:20,NULL,NULL,2,"[8801037018646, 8809068661169, 8809125064124, 8801094503901, 8801097250279]","[1, 2, 4, 3, 5]",112000
26,00000027,64620186,27206775,4,2018-02-17 05:27:37,2018-02-17 05:31:34,2018-02-17 05:31:34,2018-02-17 05:29:08,2,[8801056064761],[2],29000
27,00000028,465593,33463785,4,2020-02-08 02:20:14,2020-02-08 02:23:14,2020-02-08 02:23:14,2020-02-08 02:21:40,4,[8809423620039],[3],40000
28,00000029,465593,84166398,2,2019-03-09 23:35:36,2019-03-09 23:37:24,NULL,2019-03-09 23:37:24,1,"[8801056009731, 8801056051747, 8809382930231, 8801056015107]","[4, 2, 1, 3]",63000
29,00000030,465593,99388073,4,2019-07-11 16:24:24,2019-07-11 16:30:13,2019-07-11 16:30:13,2019-07-11 16:25:45,3,"[8801056009731, 8803284605464]","[3, 4]",34000
30,00000031,465593,14729155,4,2020-02-11 20:26:53,2020-02-11 20:32:07,2020-02-11 20:32:07,2020-02-11 20:29:18,1,"[8803284605464, 8809068661169, 8801094222406, 8801382130826]","[2, 5, 4, 1]",81000
31,00000032,465593,97713365,1,2019-08-20 09:34:51,2019-08-20 09:34:51,NULL,NULL,4,[8806002010427],[3],7000
32,00000033,27454806,92047329,1,2020-02-09 21:40:46,2020-02-09 21:40:46,NULL,NULL,1,[8801094222406],[2],34000
33,00000034,27454806,89034567,1,2018-07-14 15:10:56,2018-07-14 15:10:56,NULL,NULL,1,"[8809423620039, 8801056064761, 8801056001858]","[3, 5, 2]",90000
34,00000035,27454806,66679999,3,2020-05-03 01:07:42,2020-05-03 01:26:03,NULL,2020-05-03 01:09:31,4,"[8806430012819, 8801382134749, 8809332391303, 8801056233013]","[3, 1, 5, 2]",129000
35,00000036,27454806,14372105,4,2019-07-15 19:05:26,2019-07-15 19:11:22,2019-07-15 19:11:22,2019-07-15 19:06:29,2,"[8809382930231, 8809332391303]","[2, 3]",60000
36,00000037,27454806,7770833,4,2020-04-08 12:29:13,2020-04-08 12:33:53,2020-04-08 12:33:53,2020-04-08 12:30:28,5,[8801094222406],[3],34000
37,00000038,27454806,34792150,3,2018-06-09 15:02:08,2018-06-09 15:23:17,NULL,2018-06-09 15:04:58,2,"[8801056036775, 8804342343434, 8809125064124, 8801094502102]","[3, 1, 5, 2]",79000
38,00000039,27454806,27206775,3,2019-04-06 06:23:56,2019-04-06 06:30:31,NULL,2019-04-06 06:25:53,3,"[8803284605464, 8809423620039, 8804342398984]","[1, 2, 4]",57000
39,00000040,27454806,56856462,1,2018-09-07 23:40:26,2018-09-07 23:40:26,NULL,NULL,4,"[8806430012819, 8801056051747, 8809125064124, 8809397830007, 8809423620008]","[2, 5, 4, 3, 1]",96000
40,00000041,27454806,18377790,2,2018-02-10 14:18:14,2018-02-10 14:20:09,NULL,2018-02-10 14:20:09,4,[8801056009731],[2],21000
41,00000042,27454806,56140451,1,2018-04-08 07:13:09,2018-04-08 07:13:09,NULL,NULL,5,"[8809382930231, 8801056051747, 8801056036775]","[3, 1, 2]",51000
42,00000043,27454806,54178025,2,2020-07-09 22:02:16,2020-07-09 22:04:08,NULL,2020-07-09 22:04:08,1,"[8806002010427, 8801056036775]","[2, 1]",19000
43,00000044,27454806,89034567,4,2019-08-19 18:20:07,2019-08-19 18:23:28,2019-08-19 18:23:28,2019-08-19 18:21:13,5,[8801056051747],[4],13000
44,00000045,27454806,76430125,1,2019-09-05 13:07:48,2019-09-05 13:07:48,NULL,NULL,3,[8801037018646],[2],10000
45,00000046,27454806,66679999,2,2018-06-09 02:54:09,2018-06-09 02:55:29,NULL,2018-06-09 02:55:29,3,"[8801056051747, 8803284605464, 8806002010427, 8806003011362, 8801097130012]","[5, 2, 3, 1, 4]",69000
46,00000047,27454806,99388073,1,2018-04-18 11:57:39,2018-04-18 11:57:39,NULL,NULL,3,"[8801056064761, 8809382930231, 8801056051747, 8809125060232]","[2, 3, 5, 1]",72000
47,00000048,27454806,97713365,2,2019-07-11 19:12:29,2019-07-11 19:14:25,NULL,2019-07-11 19:14:25,4,"[8801056036775, 8801043900027, 8801037018646]","[1, 5, 2]",38000
48,00000049,27454806,36237228,2,2020-02-08 02:28:20,2020-02-08 02:29:57,NULL,2020-02-08 02:29:57,3,[8809068661169],[5],28000
49,00000050,92712691,9723056,1,2018-02-17 11:28:45,2018-02-17 11:28:45,NULL,NULL,2,"[8803284605464, 8804342343434]","[2, 3]",16000
50,00000051,92712691,38968808,3,2018-04-01 03:27:08,2018-04-01 03:47:01,NULL,2018-04-01 03:28:46,2,"[8801043900027, 8809125064124]","[4, 2]",40000
51,00000052,92712691,49416586,3,2019-04-14 07:35:58,2019-04-14 07:40:56,NULL,2019-04-14 07:37:47,3,"[8806002010427, 8803284605464, 8801056036775]","[1, 4, 3]",32000
52,00000053,92712691,1435584,3,2019-05-17 02:26:32,2019-05-17 02:44:40,NULL,2019-05-17 02:29:05,1,"[8801056036775, 8801382134749]","[5, 2]",47000
53,00000054,92712691,98446589,4,2019-09-01 20:59:07,2019-09-01 21:04:49,2019-09-01 21:04:49,2019-09-01 21:01:37,5,"[8806430012819, 8801094222406]","[1, 5]",64000
54,00000055,92712691,99699361,1,2019-01-01 09:17:25,2019-01-01 09:17:25,NULL,NULL,1,"[8801094222406, 8801382134749, 8801056001858]","[3, 5, 2]",90000
55,00000056,92712691,98446589,4,2018-01-01 07:28:33,2018-01-01 07:32:00,2018-01-01 07:32:00,2018-01-01 07:30:09,5,"[8801094222406, 8801056064761]","[1, 3]",63000
56,00000057,92712691,99699361,3,2019-08-13 12:03:19,2019-08-13 12:18:12,NULL,2019-08-13 12:04:48,2,[8809423620039],[4],40000
57,00000058,92712691,27206775,4,2019-04-10 19:35:29,2019-04-10 19:39:52,2019-04-10 19:39:52,2019-04-10 19:37:58,2,"[8809068661169, 8801037018646, 8801056001858, 880105665874]","[4, 5, 3, 2]",94000
58,00000059,92712691,84457962,1,2019-01-18 15:30:46,2019-01-18 15:30:46,NULL,NULL,3,"[8806430012819, 8809125064124, 8804342343434]","[4, 3, 2]",57000
59,00000060,92712691,33463785,4,2020-01-17 22:07:18,2020-01-17 22:13:09,2020-01-17 22:13:09,2020-01-17 22:08:23,3,"[8801037018646, 8801094222406, 8801056009731, 8801056064747]","[3, 1, 5, 4]",76000
60,00000061,92712691,66679999,1,2019-09-20 22:46:10,2019-09-20 22:46:10,NULL,NULL,2,"[8804342398984, 8809125064124, 8801056036775, 8801056798017]","[4, 1, 5, 2]",63000
61,00000062,92712691,60170980,4,2020-01-11 10:53:04,2020-01-11 10:59:13,2020-01-11 10:59:13,2020-01-11 10:54:17,4,"[8806430012819, 8801056001858]","[5, 3]",51000
62,00000063,92712691,1477966,4,2018-05-21 21:30:34,2018-05-21 21:34:55,2018-05-21 21:34:55,2018-05-21 21:31:37,5,"[8809332391303, 8809125064124, 8806002010427]","[5, 1, 2]",65000
63,00000064,92712691,99699361,1,2019-01-08 07:37:46,2019-01-08 07:37:46,NULL,NULL,5,"[8801056051747, 8801043900027]","[2, 5]",29000
64,00000065,92712691,59830938,3,2018-07-19 02:53:37,2018-07-19 03:13:56,NULL,2018-07-19 02:56:25,1,"[8801056064761, 8804342343434, 8801056036775, 8801056298128]","[4, 5, 2, 3]",55000
65,00000066,92712691,7770833,4,2018-03-15 02:38:16,2018-03-15 02:44:05,2018-03-15 02:44:05,2018-03-15 02:40:02,5,"[8801094222406, 8803284605464]","[5, 1]",47000
66,00000067,92712691,59830938,2,2018-02-05 20:35:40,2018-02-05 20:37:16,NULL,2018-02-05 20:37:16,1,"[8809423620039, 8809068661169, 8801056051747]","[5, 4, 1]",81000
67,00000068,92712691,57745285,2,2018-04-13 23:43:35,2018-04-13 23:45:00,NULL,2018-04-13 23:45:00,1,"[8801056001858, 8801037018646, 8809068661169]","[2, 4, 5]",59000
68,00000069,92712691,59830938,1,2019-06-19 02:36:46,2019-06-19 02:36:46,NULL,NULL,2,"[8801094222406, 8806430012819, 8801056036775, 8801056924011]","[4, 5, 1, 3]",96000
69,00000070,92712691,56140451,1,2018-02-09 19:00:35,2018-02-09 19:00:35,NULL,NULL,5,[8804342398984],[5],4000
70,00000071,92712691,37194251,4,2019-06-16 18:08:08,2019-06-16 18:11:43,2019-06-16 18:11:43,2019-06-16 18:09:53,1,"[8803284605464, 8809125064124, 8801056051747]","[5, 2, 1]",50000
71,00000072,92712691,58832889,2,2019-02-02 08:10:22,2019-02-02 08:11:51,NULL,2019-02-02 08:11:51,5,"[8801037018646, 8809068661169, 8804342398984, 8809253640177, 8801382130840]","[3, 4, 1, 5, 2]",84000
72,00000073,92712691,89034567,1,2020-03-11 10:16:30,2020-03-11 10:16:30,NULL,NULL,5,"[8804342343434, 8809332391303, 8801094222406, 8809173200130, 8801052727837]","[5, 4, 2, 1, 3]",106000
73,00000074,1457050,42985112,3,2020-08-08 16:50:00,2020-08-08 17:04:58,NULL,2020-08-08 16:51:53,4,"[8801056064761, 8801056036775, 8801094222406, 8809027331317]","[4, 2, 3, 5]",94000
74,00000075,1457050,37194251,2,2020-08-10 01:56:41,2020-08-10 01:58:33,NULL,2020-08-10 01:58:33,4,"[8803284605464, 8809332391303, 8801056064761, 8801056017583]","[3, 5, 2, 1]",108000
75,00000076,1457050,46239733,1,2020-04-19 23:22:47,2020-04-19 23:22:47,NULL,NULL,3,"[8801094222406, 8803284605464, 8801056051747]","[2, 3, 4]",60000
76,00000077,1457050,14372105,1,2019-04-12 20:24:17,2019-04-12 20:24:17,NULL,NULL,1,"[8809423620039, 8809332391303, 8809382930231, 8809382930255, 8802774001014]","[4, 1, 5, 3, 2]",114000
77,00000078,1457050,34157209,2,2018-09-02 19:30:24,2018-09-02 19:32:08,NULL,2018-09-02 19:32:08,5,"[8809068661169, 8801056009731, 8801094222406, 8809023001269, 8806002002894]","[2, 3, 5, 4, 1]",151000
78,00000079,1457050,28606144,3,2018-03-05 01:34:55,2018-03-05 01:55:10,NULL,2018-03-05 01:36:48,1,"[8801056051747, 8801094222406, 8801382134749, 8809068661077]","[2, 5, 3, 4]",102000
79,00000080,1457050,96820813,1,2020-04-19 15:37:16,2020-04-19 15:37:16,NULL,NULL,2,"[8801094222406, 8801094222406, 8809068661169, 8801094473006, 8806002003023]","[5, 2, 1, 4, 3]",137000
80,00000081,1457050,27206775,3,2018-04-07 07:59:41,2018-04-07 08:02:51,NULL,2018-04-07 08:01:40,4,"[8806002010427, 8801382134749, 8804342398984, 8809191574640, 8806002010670]","[4, 5, 3, 1, 2]",87000
81,00000082,1457050,44858354,4,2018-01-17 02:13:37,2018-01-17 02:19:40,2018-01-17 02:19:40,2018-01-17 02:15:18,1,[8801056051747],[1],13000
82,00000083,1457050,89034567,3,2019-01-02 19:27:55,2019-01-02 19:48:34,NULL,2019-01-02 19:30:16,3,[8809332391303],[3],34000
83,00000084,1457050,65410918,4,2020-09-20 15:23:19,2020-09-20 15:28:36,2020-09-20 15:28:36,2020-09-20 15:26:15,5,"[8804342343434, 8801056001858, 8801037018646, 8801382128038, 8809382930200]","[1, 2, 5, 4, 3]",50000
84,00000085,1457050,99388073,1,2020-06-20 18:12:48,2020-06-20 18:12:48,NULL,NULL,5,[8809125064124],[1],24000
85,00000086,66045735,64577473,3,2020-09-11 10:39:58,2020-09-11 10:43:19,NULL,2020-09-11 10:41:29,2,[8801094222406],[5],34000
86,00000087,66045735,98473237,1,2018-07-11 20:34:34,2018-07-11 20:34:34,NULL,NULL,4,"[8809125064124, 8801056051747, 8809332391303]","[3, 5, 4]",71000
87,00000088,66045735,64577473,2,2018-02-06 21:08:19,2018-02-06 21:10:13,NULL,2018-02-06 21:10:13,5,"[8801382134749, 8809423620039]","[2, 3]",75000
88,00000089,66045735,64577473,4,2018-06-14 12:52:26,2018-06-14 12:55:43,2018-06-14 12:55:43,2018-06-14 12:53:49,2,[8801043900027],[4],16000
89,00000090,66045735,38968808,2,2020-06-14 23:14:56,2020-06-14 23:16:47,NULL,2020-06-14 23:16:47,2,[8801056064761],[5],29000
90,00000091,66045735,46239733,3,2018-03-10 23:18:58,2018-03-10 23:41:29,NULL,2018-03-10 23:20:40,3,"[8804342343434, 8801056009731, 8809332391303, 8809323750010, 8801382130820]","[1, 3, 2, 4, 5]",99000
91,00000092,66045735,38968808,1,2020-04-11 11:34:12,2020-04-11 11:34:12,NULL,NULL,3,"[8809125064124, 8804342343434, 8801056001858, 8809023009340, 8809382930255]","[3, 2, 4, 5, 1]",88000
92,00000093,66045735,56856462,4,2019-06-01 02:27:45,2019-06-01 02:33:43,2019-06-01 02:33:43,2019-06-01 02:29:47,1,"[8809332391303, 8809125064124, 8801043900027, 8805915531012, 8809068661152]","[2, 3, 1, 5, 4]",107000
93,00000094,66045735,56856462,1,2020-04-20 20:53:15,2020-04-20 20:53:15,NULL,NULL,3,"[8809423620039, 8806430012819]","[3, 5]",70000
94,00000095,66045735,74883731,4,2019-05-05 17:40:33,2019-05-05 17:47:47,2019-05-05 17:47:47,2019-05-05 17:43:01,1,"[8801056009731, 8801094222406]","[5, 2]",55000
95,00000096,66045735,42985112,2,2019-06-21 14:25:03,2019-06-21 14:27:02,NULL,2019-06-21 14:27:02,1,[8809332391303],[2],34000
96,00000097,66045735,84166398,4,2019-07-05 13:37:30,2019-07-05 13:43:14,2019-07-05 13:43:14,2019-07-05 13:38:31,3,[8809382930231],[3],26000
97,00000098,66045735,14372105,2,2019-03-20 12:02:23,2019-03-20 12:04:18,NULL,2019-03-20 12:04:18,5,"[8804342343434, 8801056051747]","[3, 1]",16000
98,00000099,66045735,84457962,3,2018-05-11 01:33:34,2018-05-11 01:54:49,NULL,2018-05-11 01:35:18,3,"[8809068661169, 8801056051747, 8809423620039, 8801037037869]","[1, 3, 4, 5]",101000
99,00000100,66045735,84166398,2,2020-03-20 22:50:36,2020-03-20 22:51:58,NULL,2020-03-20 22:51:58,4,"[8801043900027, 8809423620039, 8803284605464, 8801056389123, 8801056042196]","[3, 2, 1, 5, 4]",133000
100,00000101,21775839,60170980,4,2019-07-20 09:25:20,2019-07-20 09:28:43,2019-07-20 09:28:43,2019-07-20 09:27:41,1,[8801056009731],[5],21000
101,00000102,21775839,46239733,4,2020-04-07 18:00:38,2020-04-07 18:05:51,2020-04-07 18:05:51,2020-04-07 18:03:05,5,"[8809125064124, 8801094222406, 8801056009731]","[3, 2, 5]",79000
102,00000103,21775839,84166398,2,2018-07-06 19:02:58,2018-07-06 19:05:49,NULL,2018-07-06 19:05:49,1,"[8806002010427, 8801056009731, 8809068661169]","[2, 3, 4]",56000
103,00000104,21775839,61657168,1,2018-09-19 08:25:04,2018-09-19 08:25:04,NULL,NULL,5,[8809423620039],[5],40000
104,00000105,21775839,78189817,3,2018-09-17 13:16:57,2018-09-17 13:40:12,NULL,2018-09-17 13:19:42,4,"[8809382930231, 8801056064761, 8806430012819, 8809027332932]","[4, 3, 2, 5]",119000
105,00000106,21775839,76430125,4,2018-04-01 22:47:49,2018-04-01 22:51:38,2018-04-01 22:51:38,2018-04-01 22:50:31,1,[8801382134749],[1],35000
106,00000107,21775839,44858354,2,2019-08-05 14:07:45,2019-08-05 14:08:54,NULL,2019-08-05 14:08:54,1,"[8801382134749, 8804342398984, 8801056064761]","[2, 1, 3]",68000
107,00000108,21775839,27206775,1,2019-08-03 19:21:51,2019-08-03 19:21:51,NULL,NULL,2,"[8809068661169, 8801382134749, 8801094222406, 8801056055189, 8801056042196]","[5, 4, 1, 2, 3]",169000
108,00000109,21775839,84166398,3,2020-05-01 04:13:07,2020-05-01 04:22:15,NULL,2020-05-01 04:14:36,4,"[8809125064124, 8809382930231, 8801382134749, 8806002003023, 8801097250279]","[1, 5, 3, 2, 4]",144000
109,00000110,21775839,7770833,3,2018-05-01 02:06:19,2018-05-01 02:16:43,NULL,2018-05-01 02:08:00,4,"[8806430012819, 8804342398984]","[3, 5]",34000
110,00000111,64038681,78189817,4,2018-02-11 10:11:15,2018-02-11 10:16:42,2018-02-11 10:16:42,2018-02-11 10:13:57,1,"[8803284605464, 8801056036775]","[1, 4]",25000
111,00000112,64038681,46239733,4,2020-04-12 12:51:17,2020-04-12 12:54:46,2020-04-12 12:54:46,2020-04-12 12:53:08,3,"[8801056001858, 8801382134749]","[4, 5]",56000
112,00000113,64038681,84457962,3,2018-06-11 18:28:28,2018-06-11 18:47:39,NULL,2018-06-11 18:30:55,5,"[8801056051747, 8801382134749, 8809423620039, 8806002010465]","[5, 4, 1, 2]",106000
113,00000114,64038681,99208683,4,2019-05-11 12:42:21,2019-05-11 12:48:44,2019-05-11 12:48:44,2019-05-11 12:43:47,1,"[8804342398984, 8809382930231, 8804342343434]","[2, 3, 4]",33000
114,00000115,64038681,57745285,3,2018-09-17 20:35:18,2018-09-17 20:52:16,NULL,2018-09-17 20:37:23,4,"[8809423620039, 8801056064761]","[5, 4]",69000
115,00000116,64038681,84166398,3,2019-04-04 15:00:25,2019-04-04 15:18:06,NULL,2019-04-04 15:03:24,3,"[8809125064124, 8801043900027]","[2, 3]",40000
116,00000117,64038681,9723056,2,2019-02-21 14:03:25,2019-02-21 14:04:38,NULL,2019-02-21 14:04:38,1,[8801056051747],[2],13000
117,00000118,64038681,46239733,3,2019-07-19 16:51:11,2019-07-19 17:02:40,NULL,2019-07-19 16:53:04,1,"[8801094222406, 8809423620039, 8801094222406, 8801056487010]","[3, 5, 4, 2]",115000
118,00000119,29463381,28606144,2,2019-08-13 11:01:11,2019-08-13 11:04:09,NULL,2019-08-13 11:04:09,1,"[8801056051747, 8804342398984, 8801382134749, 8801094222406, 8801097130036]","[1, 2, 5, 3, 4]",91000
119,00000120,48563880,37194251,2,2018-06-07 11:42:33,2018-06-07 11:44:32,NULL,2018-06-07 11:44:32,2,"[8801094222406, 8806002010427, 8801056009731, 8809382930255]","[1, 3, 5, 2]",65000
120,00000121,48563880,42985112,4,2020-03-05 09:34:43,2020-03-05 09:38:59,2020-03-05 09:38:59,2020-03-05 09:37:20,5,[8801056051747],[2],13000
121,00000122,48563880,28606144,2,2019-03-17 08:41:23,2019-03-17 08:43:00,NULL,2019-03-17 08:43:00,3,"[8801094222406, 8801043900027, 8801037018646]","[3, 2, 5]",60000
122,00000123,48563880,37194251,4,2018-05-04 14:45:19,2018-05-04 14:48:12,2018-05-04 14:48:12,2018-05-04 14:47:03,3,"[8801056001858, 8809125064124, 8803284605464, 8801094503901, 8801382132455]","[3, 2, 4, 5, 1]",112000
123,00000124,48563880,34157209,3,2018-01-05 13:49:02,2018-01-05 14:10:46,NULL,2018-01-05 13:51:16,4,"[8801043900027, 8801056051747, 8801382134749, 8809323750065]","[5, 2, 4, 3]",83000
124,00000125,48563880,7770833,4,2018-08-19 06:47:03,2018-08-19 06:53:09,2018-08-19 06:53:09,2018-08-19 06:49:21,3,"[8809382930231, 8801382134749, 8804342398984, 8801056154066, 8805915531036]","[2, 3, 1, 4, 5]",129000
125,00000126,48563880,21795031,3,2018-02-16 01:51:51,2018-02-16 02:10:49,NULL,2018-02-16 01:53:34,2,"[8801056064761, 8801382134749, 8809068661169, 8805915531036]","[1, 5, 2, 4]",119000
126,00000127,48563880,84166398,4,2020-05-19 18:28:43,2020-05-19 18:33:58,2020-05-19 18:33:58,2020-05-19 18:30:46,1,"[8801043900027, 8801382134749]","[3, 2]",51000
127,00000128,48563880,49616996,4,2018-08-04 01:55:40,2018-08-04 02:00:19,2018-08-04 02:00:19,2018-08-04 01:57:56,2,"[8809125064124, 8801056064761]","[2, 3]",53000
128,00000129,58306650,89034567,3,2020-06-06 12:12:34,2020-06-06 12:20:48,NULL,2020-06-06 12:14:49,4,[8801056009731],[3],21000
129,00000130,58306650,9723056,2,2020-01-01 19:36:59,2020-01-01 19:39:49,NULL,2020-01-01 19:39:49,2,"[8801056009731, 8801056036775, 8809125064124, 8809191574664]","[2, 3, 5, 1]",95000
130,00000131,58306650,98473237,2,2020-05-13 18:57:24,2020-05-13 18:59:53,NULL,2020-05-13 18:59:53,4,"[8801056036775, 8801382134749, 8801056001858]","[2, 4, 1]",68000
131,00000132,58306650,21795031,2,2020-07-20 15:48:22,2020-07-20 15:50:56,NULL,2020-07-20 15:50:56,4,"[8801056036775, 8801056051747]","[1, 3]",25000
132,00000133,58306650,14729155,2,2020-02-05 12:36:48,2020-02-05 12:39:45,NULL,2020-02-05 12:39:45,5,"[8801037018646, 8801094222406, 8809068661169, 8801056013110]","[3, 1, 5, 2]",83000
133,00000134,58306650,57745285,2,2019-06-15 05:17:27,2019-06-15 05:20:03,NULL,2019-06-15 05:20:03,1,"[8801094222406, 8801056064761]","[3, 1]",63000
134,00000135,58306650,21795031,2,2018-07-20 18:48:29,2018-07-20 18:50:42,NULL,2018-07-20 18:50:42,3,"[8801037018646, 8801382134749, 8801094222406, 8801056005672, 8809191574640]","[5, 4, 2, 1, 3]",125000
135,00000136,58306650,99388073,2,2019-07-16 02:42:44,2019-07-16 02:45:08,NULL,2019-07-16 02:45:08,4,"[8809423620039, 8804342398984]","[5, 4]",44000
136,00000137,58306650,9723056,3,2019-02-08 01:42:58,2019-02-08 01:47:54,NULL,2019-02-08 01:44:26,2,"[8801056051747, 8804342398984, 8801043900027, 8806020310530]","[5, 3, 1, 2]",40000
137,00000138,58306650,67418250,2,2020-07-21 10:03:51,2020-07-21 10:06:15,NULL,2020-07-21 10:06:15,1,"[8804342343434, 8801056051747, 8809332391303, 8809382930231]","[1, 3, 4, 5]",76000
138,00000139,58306650,1477966,3,2019-02-06 22:21:12,2019-02-06 22:37:25,NULL,2019-02-06 22:23:56,4,"[8809382930231, 8801056036775, 8801056064761, 8801382134824]","[5, 1, 2, 3]",82000
139,00000140,58306650,27206775,3,2019-03-11 12:07:04,2019-03-11 12:19:48,NULL,2019-03-11 12:09:39,4,"[8801056001858, 8809125064124, 8809068661169, 8809397830007, 8801043650700]","[1, 5, 2, 4, 3]",90000
140,00000141,58306650,21795031,4,2019-09-08 10:08:31,2019-09-08 10:14:19,2019-09-08 10:14:19,2019-09-08 10:10:09,1,"[8809068661169, 8804342398984, 8809382930231, 8801056024062, 8809057550023]","[5, 4, 2, 3, 1]",97000
141,00000142,58306650,44858354,2,2020-04-20 14:31:01,2020-04-20 14:33:23,NULL,2020-04-20 14:33:23,1,"[8801056001858, 8804342398984, 8801037018646, 8801037037852]","[3, 1, 2, 4]",60000
